DATE; Napelem töltőfeszültség; Levegő-hőmérséklet; Levegő-páratartalom; Légnyomás; Széllökés; Belső akkufeszültség; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Szélirány; Talajnedvesség 60 cm; Talajhőmérséklet 0 cm; Besugárzás; Fagy; Fényegység; Csapadék; Levélnedvesség; Szélsebesség; Külső akkufeszültség
2021-03-02 00:00:00; 10,13135;   4,32169;  72,30554;1026,01320;   6,32924;   4,22578;  25,37812;  28,78301; 275,94943;  25,22980;   4,36480; 165,74790;-9999,00000;2466,79600;   0,00000;   0,00000;   4,51047;-9999,00000
2021-03-14 00:00:00; 9,26404;   7,87046;  78,95891; 998,20990;  13,63355;   4,22467;  24,96492;  27,24451; 253,28116;  24,23361;   6,98089;  90,31863;-9999,00000;2439,63620;   0,00151;   0,00000;  10,24982;-9999,00000
2021-03-12 00:00:00; 9,49989;   8,45873;  64,24072;1004,25670;  22,28242;   4,22326;  24,93226;  26,62543; 219,87329;  24,19765;   6,01087;  98,99860;-9999,00000;2473,28400;   0,00084;   0,00000;  17,34654;-9999,00000
2021-03-11 00:00:00; 10,13958;   2,64304;  53,56237;1010,29535;  16,44975;   4,22557;  24,87423;  26,94549; 170,88719;  24,38581;   2,55867; 169,94019;-9999,00000;2514,76460;   0,00000;   0,00000;  12,33695;-9999,00000
2021-03-10 00:00:00; 10,47492;   0,49168;  55,60860;1010,21890;   9,73478;   4,22688;  24,92739;  27,14457;  18,40626;  24,51711;   1,58290; 163,69795;-9999,00000;2549,71390;   0,00000;   0,00000;   7,42464;-9999,00000
2021-03-08 00:00:00; 10,39735;   2,93196;  55,26524;1008,36390;  12,64084;   4,22766;  25,04020;  27,50502; 258,19952;  24,70963;   2,59633; 176,59395;-9999,00000;2566,01880;   0,00000;   0,00000;   9,65750;-9999,00000
2021-03-07 00:00:00; 10,37124;   0,75000;  56,97360;1016,35960;  10,38812;   4,22790;  25,09746;  27,59624; 196,11797;  24,75908;   1,75840; 179,13963;-9999,00000;2511,07500;   0,00000;   0,00000;   7,90876;-9999,00000
2021-04-30 00:00:00; 11,88734;  17,16132;  69,88803;1002,36633;  15,11588;   4,23645;  25,34991;  28,93327; 192,05858;  24,93456;  15,64135; 195,88379;-9999,00000;2519,45920;   0,00067;   0,00000;  11,67883;  13,22094
2021-03-19 00:00:00; 10,58900;   1,74694;  63,58478;1007,03290;  10,52971;   4,22658;  24,75877;  26,29699; 318,11826;  24,18245;   3,51495; 170,65187;-9999,00000;2585,97140;   0,00000;   0,00000;   7,92029;-9999,00000
2021-03-18 00:00:00; 9,93683;   4,57639;  59,91060;1005,63873;  21,71480;   4,22537;  24,84483;  26,49648;   3,70850;  24,29511;   4,16891;  96,38343;-9999,00000;2532,39450;   0,00000;   0,00000;  17,47653;-9999,00000
2021-04-19 00:00:00; 11,10873;   8,41751;  84,32903;1006,50730;   6,67891;   4,23576;  25,11185;  29,70685;  87,17454;  24,45567;   8,56793;  86,02241;-9999,00000;2410,58470;   0,00017;   0,07069;   4,74514;  13,31069
2021-03-17 00:00:00; 10,27878;   5,66382;  61,61129;1002,00930;  26,92708;   4,22508;  24,88024;  26,82214; 338,33176;  24,39790;   4,40197; 121,48668;-9999,00000;2554,56880;   0,00000;   0,00000;  21,22166;-9999,00000
2021-03-16 00:00:00; 10,09281;   5,90178;  63,78581; 998,03784;  22,37717;   4,22498;  24,96330;  27,31535; 323,08930;  24,47602;   4,50934; 120,39705;-9999,00000;2561,38750;   0,00000;   0,00000;  17,36055;-9999,00000
