DATE; Talajhőmérséklet 0 cm; Szélirány; Talajnedvesség 30 cm; Széllökés; Levegő-hőmérséklet; Szélsebesség; Csapadék; Talajnedvesség 90 cm; Besugárzás; Levegő-páratartalom; Talajnedvesség 60 cm
2021-01-07 18:00:00; 4,62880;  21,13870;  11,32240;   0,16851;  -0,14870;   0,05233;   0,00000;  17,54342;   0,00000;  97,52896;  12,02082
2021-01-07 16:00:00; 4,93967;  21,97303;  11,35338;   0,50388;   2,06673;   0,24576;   0,00000;  17,55956;   0,00000;  92,11973;  12,03693
2021-01-07 14:00:00; 5,03430;   7,64262;  11,39164;   0,83736;   5,66220;   0,44368;   0,00000;  17,56382;  22,74693;  77,75813;  12,02532
2021-01-07 15:00:00; 5,01705; 116,46358;  11,37217;   0,70614;   3,93763;   0,33903;   0,00000;  17,56250;   0,53925;  86,22065;  12,03240
2021-01-07 13:00:00; 5,00962; 339,50235;  11,40836;   1,04887;   6,46880;   0,63571;   0,00000;  17,57616;  73,67999;  73,37324;  12,03422
2021-01-07 11:00:00; 4,87311; 308,82880;  11,45776;   2,17560;   6,98476;   1,36092;   0,00000;  17,59609; 236,11950;  71,99969;  12,04883
2021-01-07 12:00:00; 4,95221; 319,47314;  11,43810;   1,78959;   7,06095;   1,09061;   0,00000;  17,58500; 177,96114;  70,49719;  12,04628
2021-01-07 10:00:00; 4,72236; 277,97748;  11,46957;   1,53506;   6,39254;   0,87915;   0,00000;  17,59749; 223,41399;  80,17572;  12,05009
2021-01-07 08:00:00; 4,49278; 225,20773;  11,46965;   1,02655;   3,33569;   0,68211;   0,00000;  17,59403;  83,18477;  98,05828;  12,07739
2021-01-07 09:00:00; 4,59011; 278,53235;  11,47166;   1,13544;   4,64723;   0,72103;   0,03623;  17,59690; 208,84087;  92,56248;  12,06099
2021-01-07 05:00:00; 4,49027; 344,14877;  11,44999;   0,66341;   0,00441;   0,37366;   0,00000;  17,61680;   0,00000;  99,99799;  12,10325
2021-01-07 06:00:00; 4,42429;  24,83854;  11,45016;   0,42331;   1,20563;   0,14452;   0,00000;  17,60397;   3,62220;  99,99799;  12,08139
2021-01-07 07:00:00; 4,43147; 179,85156;  11,46179;   0,95441;   2,07936;   0,53582;   0,00000;  17,60038;  33,31715;  99,99799;  12,08072
2021-01-07 02:00:00; 4,89373;  66,01611;  11,46581;   0,48973;   0,10107;   0,22929;   0,00000;  17,62205;   0,12142;  99,99799;  12,11851
