DATE; Talajnedvesség 90 cm; Besugárzás; Levélnedvesség; Külső akkufeszültség; Széllökés; Talajnedvesség 30 cm; Levegő-páratartalom; Légnyomás; Talajhőmérséklet 0 cm; Napelem töltőfeszültség; Csapadék; Szélirány; Belső akkufeszültség; Fagy; Szélsebesség; Fényegység; Talajnedvesség 60 cm; Levegő-hőmérséklet
2021-03-04 00:00:00; 24,39800;   0,00000;   0,00000;-9999,00000;   4,50000;  25,46900;  75,66000;1014,90000;   4,85000;   0,00000;   0,00000; 225,22000;   4,22700;-9999,00000;   2,00000;  14,00000;  22,25600;   4,35000
2021-03-02 23:00:00; 24,39800;   0,00000;   0,00000;-9999,00000;   4,50000;  25,58800;  82,34500;1023,20000;   4,40000;   0,00000;   0,00000; 301,75943;   4,22750;-9999,00000;   2,50000;  21,00000;  22,37500;   2,55000
2021-03-02 23:20:00; 24,39800;   0,00000;   0,00000;-9999,00000;   2,33333;  25,62767;  82,74332;1023,23334;   4,33333;   0,00000;   0,00000; 301,58340;   4,22733;-9999,00000;   1,00000;1411,00000;  22,37499;   2,26667
2021-03-02 23:10:00; 24,39800;   0,00000;   0,00000;-9999,00000;   4,00000;  25,70700;  82,34000;1023,30000;   4,40000;   0,00000;   0,00000; 301,58340;   4,23000;-9999,00000;   2,00000;  31,00000;  22,37500;   2,50000
2021-03-03 22:40:00; 24,27900;   0,00000;   0,00000;-9999,00000;   3,50000;  25,46900;  72,28500;1015,19995;   5,30000;   0,00000;   0,00000; 235,24963;   4,22650;-9999,00000;   1,50000;  14,00000;  22,13700;   5,20000
2021-03-03 22:30:00; 24,27900;   0,00000;   0,00000;-9999,00000;   4,00000;  25,46900;  71,47000;1015,35000;   5,35000;   0,00000;   0,00000; 235,07336;   4,22700;-9999,00000;   1,50000;  24,50000;  22,25600;   5,30000
2021-03-03 22:50:00; 24,27900;   0,00000;   0,00000;-9999,00000;   4,00000;  25,46900;  72,73500;1015,15000;   5,25000;   0,00000;   0,00000; 232,78610;   4,22200;-9999,00000;   1,50000;  34,50000;  22,25600;   5,20000
2021-03-03 22:10:00; 24,27900;   0,00000;   0,00000;-9999,00000;   4,00000;  25,46900;  70,00500;1015,55000;   5,45000;   0,00000;   0,00000; 235,07336;   4,22500;-9999,00000;   0,50000;  75,50000;  22,25600;   5,70000
2021-03-03 22:20:00; 24,27900;   0,00000;   0,00000;-9999,00000;   2,50000;  25,46900;  70,73500;1015,40000;   5,40000;   0,00000;   0,00000; 235,07336;   4,22700;-9999,00000;   0,50000; 131,00000;  22,25600;   5,45000
2021-03-03 21:50:00; 24,27900;   0,00000;   0,00000;-9999,00000;   3,66667;  25,46900;  68,74334;1015,76666;   5,60000;   0,00000;   0,00000; 235,19034;   4,22567;-9999,00000;   1,33333; 128,00000;  22,25600;   6,03333
2021-03-03 22:00:00; 24,27900;   0,00000;   0,00000;-9999,00000;   0,00000;  25,46900;  69,33000;1015,70000;   5,50000;   0,00000;   0,00000; 235,07336;   4,22000;-9999,00000;   0,00000;3895,00000;  22,25600;   5,80000
2021-03-03 20:30:00; 24,27900;   0,00000;   0,00000;-9999,00000;   4,50000;  25,58800;  66,13000;1016,45000;   6,10000;   0,00000;   0,00000; 240,35199;   4,22800;-9999,00000;   2,00000;  31,00000;  22,25600;   6,65000
2021-03-03 20:40:00; 24,27900;   0,00000;   0,00000;-9999,00000;   5,00000;  25,58800;  64,32500;1016,35000;   6,05000;   0,00000;   0,00000; 237,53682;   4,22800;-9999,00000;   3,00000;  22,50000;  22,25600;   7,15000
2021-03-03 20:00:00; 24,27900;   0,00000;   0,00000;-9999,00000;   0,50000;  25,58800;  68,52499;1016,50000;   6,35000;   0,00000;   0,00000; 241,05565;   4,22750;-9999,00000;   0,00000;2174,50000;  22,25600;   6,20000
2021-03-03 20:10:00; 24,27900;   0,00000;   0,00000;-9999,00000;   1,00000;  25,58800;  69,66000;1016,50000;   6,30000;   0,00000;   0,00000; 241,05565;   4,22400;-9999,00000;   0,00000;  22,00000;  22,25600;   5,80000
2021-03-03 20:20:00; 24,27900;   0,00000;   0,00000;-9999,00000;   0,00000;  25,58800;  68,28500;1016,55000;   6,25000;   0,00000;   0,00000; 241,05565;   4,22750;-9999,00000;   0,00000;  12,50000;  22,25600;   6,15000
2021-03-03 19:30:00; 24,27900;   0,00000;   0,00000;-9999,00000;   0,00000;  25,58800;  69,12000;1016,80000;   6,60000;   0,00000;   0,00000; 241,05565;   4,22550;-9999,00000;   0,00000;  15,50000;  22,25600;   6,30000
2021-03-03 19:20:00; 24,27900;   0,00000;   0,00000;-9999,00000;   0,00000;  25,58800;  66,43667;1016,83330;   6,76667;   0,00000;   0,00000; 241,05565;   4,22567;-9999,00000;   0,00000;1310,00000;  22,25600;   7,10000
2021-03-03 19:50:00; 24,27900;   0,00000;   0,00000;-9999,00000;   1,33333;  25,58800;  68,53333;1016,56665;   6,43333;   0,00000;   0,00000; 241,05565;   4,22767;-9999,00000;   0,00000;  40,33333;  22,25600;   6,23333
2021-03-03 19:40:00; 24,27900;   0,00000;   0,00000;-9999,00000;   0,00000;  25,58800;  69,13500;1016,70000;   6,60000;   0,00000;   0,00000; 241,05565;   4,22400;-9999,00000;   0,00000; 103,00000;  22,25600;   6,20000
2021-03-03 19:00:00; 24,27900;   0,00000;   0,00000;-9999,00000;   1,50000;  25,58800;  63,35000;1017,00000;   6,95000;   0,00000;   0,00000; 241,05565;   4,22450;-9999,00000;   0,00000;  17,50000;  22,25600;   7,90000
2021-03-03 19:10:00; 24,27900;   0,00000;   0,00000;-9999,00000;   2,00000;  25,58800;  63,46000;1017,00000;   6,85000;   0,00000;   0,00000; 241,05565;   4,22750;-9999,00000;   0,00000;  27,00000;  22,25600;   7,85000
2021-03-03 18:30:00; 24,27900;   0,00000;   0,00000;-9999,00000;   2,50000;  25,58800;  59,67000;1017,05000;   7,25000;   0,00000;   0,00000; 241,05565;   4,22800;-9999,00000;   1,00000;  23,00000;  22,25600;   9,10000
2021-03-03 18:40:00; 24,27900;   0,00000;   0,00000;-9999,00000;   2,00000;  25,58800;  61,48000;1017,10000;   7,15000;   0,00000;   0,00000; 241,05565;   4,22500;-9999,00000;   0,50000;  26,00000;  22,25600;   8,45000
