DATE; Besugárzás; Levegő-hőmérséklet; Levegő-páratartalom; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Talajnedvesség 90 cm; Csapadék; Szélirány; Széllökés; Talajhőmérséklet 0 cm; Szélsebesség; Levélnedvesség
2021-03-26 00:30:00; 0,00000;  -0,67825;  89,68836;  49,76590;  30,97948;  27,16008;   0,00000; 356,34836;   0,34300;   4,50452;   0,05657;-9999,00000
2021-03-26 00:40:00; 0,00000;  -0,33741;  90,08334;  49,76625;  30,98258;  27,16888;   0,00000; 176,20021;   0,44917;   4,47345;   0,36750;-9999,00000
2021-03-26 00:50:00; 0,00000;  -0,33090;  89,00683;  49,76546;  30,98255;  27,16621;   0,00000;   6,00010;   0,28583;   4,44824;   0,07543;-9999,00000
2021-03-26 01:00:00; 0,00000;  -0,58432;  88,89401;  49,76424;  30,98174;  27,17679;   0,00000;   0,00000;   0,00000;   4,42054;   0,00000;-9999,00000
2021-03-26 01:20:00; 0,00000;   0,06057;  85,24440;  49,76606;  30,95097;  27,16334;   0,00000; 206,48615;   0,81830;   4,36654;   0,35819;-9999,00000
2021-03-26 01:10:00; 0,00000;  -0,47642;  89,47981;  49,76589;  30,96214;  27,17847;   0,00000; 231,90091;   0,65497;   4,39413;   0,29355;-9999,00000
2021-03-26 01:40:00; 0,00000;  -0,90512;  87,12030;  49,76424;  30,95060;  27,17078;   0,00000;  18,43984;   0,58637;   4,31766;   0,21887;-9999,00000
2021-03-26 01:30:00; 0,00000;  -0,13883;  84,68319;  49,76606;  30,95060;  27,16511;   0,00000;  47,58286;   0,56187;   4,34275;   0,19584;-9999,00000
2021-03-26 01:50:00; 0,00000;  -1,15095;  89,44750;  49,76559;  30,95023;  27,18037;   0,00000;  12,74309;   0,30380;   4,29408;   0,03071;-9999,00000
2021-03-26 02:20:00; 0,00000;  -0,23838;  89,13559;  49,76741;  30,95097;  27,18747;   0,00000;  26,54686;   0,62557;   4,22644;   0,24451;-9999,00000
2021-03-26 02:00:00; 0,00000;  -0,82528;  91,64631;  49,76562;  30,95060;  27,17363;   0,00000;  49,24856;   0,38547;   4,27001;   0,14455;-9999,00000
2021-03-26 02:10:00; 0,00000;  -0,35810;  91,00850;  49,76470;  30,95023;  27,17752;   0,00000; 170,46439;   0,35933;   4,24787;   0,18538;-9999,00000
2021-03-26 02:30:00; 0,00000;  -0,11887;  88,64830;  49,76517;  30,95060;  27,18925;   0,00000; 350,01620;   0,10127;   4,20620;   0,01895;-9999,00000
2021-03-26 02:40:00; 0,00000;  -0,00935;  88,89790;  49,76560;  30,95097;  27,18997;   0,00000;  34,72574;   0,49980;   4,18933;   0,24696;-9999,00000
2021-03-26 02:50:00; 0,00000;  -0,00051;  87,95091;  49,76787;  30,95171;  27,19069;   0,00000;  72,96231;   0,51450;   4,17100;   0,21560;-9999,00000
2021-03-26 03:00:00; 0,00000;   0,70457;  85,99361;  49,76833;  30,95246;  27,18784;   0,00000; 180,57756;   0,65170;   4,15382;   0,51613;-9999,00000
2021-03-26 03:20:00; 0,00000;  -0,02105;  87,02592;  49,76756;  30,94585;  27,17653;   0,00000;  34,10832;   0,70887;   4,12882;   0,36394;-9999,00000
2021-03-26 03:10:00; 0,00000;   1,03645;  84,09355;  49,77129;  30,95060;  27,17718;   0,00000; 116,14020;   0,84280;   4,14466;   0,44445;-9999,00000
2021-03-26 03:30:00; 0,00000;  -0,38755;  87,68089;  49,76980;  30,93153;  27,18704;   0,00000;  61,37413;   0,34953;   4,11801;   0,12268;-9999,00000
