DATE; Légnyomás; Fagy; Napelem töltőfeszültség; Talajnedvesség 90 cm; Levegő-hőmérséklet; Széllökés; Talajnedvesség 30 cm; Talajnedvesség 60 cm; Fényegység; Talajnedvesség 120 cm; Csapadék; Külső akkufeszültség; Besugárzás; Levélnedvesség; Belső akkufeszültség; Szélsebesség; Levegő-páratartalom; Talajhőmérséklet 0 cm; Szélirány
2021-01-19 00:00:00; 1013,87780;-9999,00000;   6,50603;  34,73530;  -0,08292;   5,93214;  30,04051;  32,61066;1564,75340;-9999,00000;   0,00229;  12,95738;  35,33333;   5,05263;   4,24352;   2,62143;  89,61240;  -0,29466; 315,55524
2021-02-06 00:00:00; 1005,17786;-9999,00000;   6,56837;  34,68471;   4,96170;   5,12811;  30,94725;  32,77734;1449,44450;-9999,00000;   0,00000;  12,75140;  15,45296;   5,03496;   4,23526;   3,27402; 100,00000;   4,97306; 100,23319
2021-03-13 00:00:00; 1004,83710;-9999,00000;  10,33298;  34,35342;   9,05795;   8,93262;  30,40284;  32,53656;1881,73960;-9999,00000;   0,00000;-9999,00000; 158,29268;   5,01742;   4,24517;   1,00355;  76,77646;   6,31303; 311,61917
2021-01-28 00:00:00; 1003,14200;-9999,00000;   7,85646;  36,76045;  -0,78648;   5,93907;  31,09122;  33,00916;1604,67020;-9999,00000;   0,00229;  13,18003;  43,28070;   5,05263;   4,24591;   2,08244;  87,14642;   0,67580; 325,00427
2021-01-27 00:00:00; 1006,03217;-9999,00000;   8,24615;  37,48926;   0,21566;   5,41071;  31,59751;  33,18041;1768,06590;-9999,00000;   0,00000;  13,15683;  63,29824;   5,05263;   4,24528;   2,11429;  84,90082;   1,23156;   2,28440
2021-01-26 00:00:00; 1002,75890;-9999,00000;   6,86902;  37,59434;   0,64377;   5,10357;  32,70771;  33,36877;1807,10410;-9999,00000;   0,00000;  12,91758;  27,82456;   5,03496;   4,24271;   2,59286;  84,82581;   1,85943;   4,46644
2021-01-25 00:00:00; 992,54144;-9999,00000;   7,58095;  37,67195;   1,82837;  13,03914;  34,11207;  34,55346;1668,08340;-9999,00000;   0,03056;  13,08541;  61,66084;   5,05263;   4,24500;   6,34520;  89,43866;   2,19468; 355,07780
2021-02-12 00:00:00; 1020,54610;-9999,00000;   9,09726;  35,14453;  -6,10143;   7,58273;  31,77770;  33,73942;1660,73270;-9999,00000;   0,00000;  13,24004;  90,44014;   5,07042;   4,24448;   1,09353;  72,51343;   0,31893;   5,98033
2021-02-11 00:00:00; 1004,86035;-9999,00000;   6,96368;  37,43954;  -1,88214;  27,13571;  34,07230;  34,32340;1641,95840;-9999,00000;   0,01375;  12,66487;  16,84859;   5,05263;   4,23786;  15,48929;  85,30718;   2,95322; 341,23413
2021-02-10 00:00:00; 995,94104;-9999,00000;   7,13030;  35,66806;   5,42049;   2,32740;  33,78719;  33,67365;1659,08680;-9999,00000;   0,02360;  12,88655;  32,03833;   5,03496;   4,23423;   0,77224;  98,83296;   4,70707; 267,84650
