DATE; Talajhőmérséklet 0 cm; Szélirány; Szélsebesség; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Széllökés; Levegő-páratartalom; Besugárzás; Talajnedvesség 90 cm; Csapadék; Levegő-hőmérséklet
2021-04-30 21:40:00; 15,84652;  49,17665;   0,61854;  10,07290;   8,53751;   0,77910;  80,55370;   0,00000;  14,75126;   0,00000;  16,49162
2021-04-30 21:50:00; 15,81560;  50,77860;   0,46256;  10,07290;   8,53504;   0,61577;  80,12410;   0,00000;  14,75554;   0,00000;  16,55983
2021-04-30 20:20:00; 16,15201;  57,57956;   0,31670;  10,07290;   8,53507;   0,40833;  80,04449;   0,00000;  14,74639;   0,00000;  16,82991
2021-04-29 19:20:00; 14,65375;  58,44077;   0,60401;  10,07290;   9,07870;   1,06820;  93,87990;   0,00000;  14,75725;   0,00000;  14,21223
2021-04-29 19:10:00; 14,68891;  73,13792;   0,93329;  10,07212;   9,07820;   1,04860;  93,38940;   0,00000;  14,75554;   0,00000;  14,41071
2021-04-29 19:30:00; 14,61587;  57,55763;   0,55746;  10,07290;   9,07870;   0,73990;  94,61420;   0,00000;  14,75641;   0,00000;  13,96668
2021-04-29 19:40:00; 14,58187;  41,02805;   0,23389;  10,07290;   9,07870;   0,45407;  95,37929;   0,00000;  14,75813;   0,00000;  13,83562
2021-04-29 19:50:00; 14,54767;  53,84861;   0,33500;  10,07290;   9,07795;   0,53573;  95,66760;   0,00000;  14,75783;   0,00000;  13,61102
2021-04-29 20:00:00; 14,50993;  47,61042;   0,51515;  10,07290;   9,07448;   0,69580;  96,24980;   0,00000;  14,75726;   0,00000;  13,50263
2021-04-29 20:10:00; 14,47518;  49,68663;   0,47971;  10,07365;   9,07274;   0,65987;  96,51930;   0,00000;  14,75783;   0,00000;  13,35911
2021-04-29 20:30:00; 14,39856;  60,46334;   0,57804;  10,07315;   9,06755;   0,74480;  97,20561;   0,00000;  14,75869;   0,00000;  12,77615
2021-04-29 20:20:00; 14,43508;  45,16287;   0,20580;  10,07365;   9,06705;   0,41323;  96,66579;   0,00000;  14,75956;   0,00000;  13,00181
2021-04-29 20:50:00; 14,32313;  39,42901;   0,21821;  10,07340;   9,06805;   0,57003;  97,90421;   0,00000;  14,76098;   0,00000;  12,23517
2021-04-29 20:40:00; 14,35978;  32,51294;   0,27603;  10,07365;   9,06607;   0,57983;  97,69840;   0,00000;  14,75725;   0,00000;  12,53106
2021-04-29 21:00:00; 14,28274;  25,37809;   0,10927;  10,07315;   9,06482;   0,35280;  98,43770;   0,00000;  14,75841;   0,00000;  12,21059
2021-04-29 21:20:00; 14,20435;  65,97787;   0,71997;  10,07365;   9,06508;   1,08453;  98,85420;   0,00000;  14,75811;   0,00000;  11,97257
2021-04-29 10:50:00; 13,10100; 151,45820;   1,88977;  10,04532;   9,15822;   2,99553;  71,49091; 704,26666;  14,75379;   0,00000;  20,93954
2021-04-29 11:20:00; 13,50786; 153,04828;   2,24861;  10,04230;   9,12623;   3,09680;  63,30010; 611,03406;  14,75298;   0,00000;  21,73747
