DATE; Levegő-páratartalom; Belső akkufeszültség; Napelem töltőfeszültség; Talajnedvesség 90 cm; Fagy; Talajnedvesség 30 cm; Talajhőmérséklet 0 cm; Talajnedvesség 60 cm; Csapadék; Szélirány; Légnyomás; Széllökés; Szélsebesség; Levegő-hőmérséklet; Fényegység; Besugárzás; Levélnedvesség; Külső akkufeszültség
2021-01-25 00:00:00; 89,24694;   4,19994;   7,69592;  26,67439;-9999,00000;  22,99508;   4,02996;  31,99281;   0,00046; 247,28128; 991,90240;  14,17702;  10,92486;   1,97164;1770,35690;  70,90551;   0,15584;  11,87837
2021-01-24 00:00:00; 84,86481;   4,21105;   7,39325;  26,65877;-9999,00000;  21,58151;   4,92981;  32,03257;   0,00091; 236,31812; 987,98883;  14,20908;  11,07787;   5,02340;1734,03330;  60,59957;   0,03693;  11,68318
2021-01-23 00:00:00; 78,95592;   4,20231;   7,02334;  26,65886;-9999,00000;  21,57020;   5,20847;  31,93870;   0,00000; 136,95914; 989,24520;  18,00216;  14,09274;   8,92638;1839,94580;  42,45732;   0,00000;  11,64919
2021-03-16 00:00:00; 67,83844;   4,21510;  10,32491;  27,96134;-9999,00000;  23,00554;   5,69423;  34,09698;   0,00000; 298,43950; 999,13770;  28,10743;  22,52487;   6,04666;2150,52800; 147,59630;   0,00000;-9999,00000
2021-03-15 00:00:00; 71,29192;   4,20331;   9,78058;  27,95629;-9999,00000;  24,20581;   6,48896;  35,27798;   0,00167; 309,50397; 995,16327;  26,22766;  21,11527;   6,32364;2085,32980; 113,61983;   0,19137;-9999,00000
2021-03-14 00:00:00; 83,80551;   4,21525;   8,71424;  27,93660;-9999,00000;  23,08672;   7,16687;  33,88787;   0,00182; 315,90268; 996,60270;  12,85961;  10,18718;   7,36834;1955,15970;  74,77208;   0,05080;-9999,00000
2021-03-13 00:00:00; 81,95380;   4,21775;  10,22267;  29,07153;-9999,00000;  24,52206;   7,17274;  36,35536;   0,00000; 158,98784;1002,54540;  13,88049;  10,90425;   8,28866;2145,55980; 168,10628;   0,07794;-9999,00000
2021-01-07 00:00:00; 92,00600;   4,20762;   7,51373;  27,47527;-9999,00000;  22,22419;   4,09115;  33,14469;   0,00000; 212,19019;1004,90560;   4,04624;   2,69798;   2,01933;1700,81250;  57,27468;   0,48987;  11,85349
2021-03-06 00:00:00; 53,99791;   4,22313;   9,97284;  26,89707;-9999,00000;  21,69567;   5,99902;  32,30059;   0,00000; 292,41455;1020,42786;   8,68257;   6,29573;   1,79329;2011,46880; 158,02650;   0,00000;-9999,00000
2021-02-28 00:00:00; 73,89040;   4,22395;   9,65193;  27,00720;-9999,00000;  21,84716;   6,43412;  32,42712;   0,00000; 269,23795;1023,42610;   6,26190;   4,47908;   4,28027;2009,54370; 113,72766;   0,04533;-9999,00000
2021-02-27 00:00:00; 71,45528;   4,22484;   9,70546;  26,98701;-9999,00000;  21,93381;   7,16634;  32,45974;   0,00000; 301,26788;1018,48260;  18,85889;  14,93376;   7,12084;2053,45500; 125,70157;   0,00000;-9999,00000
2021-01-14 00:00:00; 81,29672;   4,21226;   7,27818;  26,89706;-9999,00000;  21,41550;   1,78297;  32,17363;   0,00000; 266,11847;1000,39044;  16,48551;  12,83696;   0,45665;1730,19520;  41,03868;   0,00000;  11,69873
2021-03-19 00:00:00; 75,60827;   4,21079;   9,93124;  27,34962;-9999,00000;  22,19752;   6,00098;  32,88686;   0,00046;  60,29939;1005,99146;   6,44300;   4,53752;   2,82024;2205,90200; 137,28899;   0,01535;-9999,00000
