DATE; Széllökés; Talajnedvesség 30 cm; Talajnedvesség 90 cm; Besugárzás; Csapadék; Talajnedvesség 60 cm; Szélsebesség; Levegő-páratartalom; Levegő-hőmérséklet; Talajhőmérséklet 0 cm; Szélirány; Levélnedvesség
2021-04-12 09:00:00; 2,62994;  26,99010;  26,89001; 699,30100;   0,00000;  44,47824;   1,48191;  42,42002;  20,71201;   8,70679; 168,43648;-9999,00000
2021-04-12 06:00:00; 2,12469;  27,08063;  26,95305; 342,19968;   0,00000;  44,68216;   1,51642;  55,24852;  13,28714;   7,68592; 161,83173;-9999,00000
2021-04-12 03:00:00; 0,92692;  27,04313;  26,95979;   0,30474;   0,00000;  44,69451;   0,69416;  69,57087;   6,98353;   7,83954; 157,87991;-9999,00000
2021-04-12 04:00:00; 1,33471;  27,03694;  26,97521;  49,39374;   0,00000;  44,69042;   1,00528;  66,38638;   7,83824;   7,72500; 156,66747;-9999,00000
2021-04-12 05:00:00; 1,61019;  27,05987;  26,95721; 151,22368;   0,00000;  44,68610;   1,18599;  63,35123;   9,74108;   7,66535; 154,96330;-9999,00000
2021-04-12 00:00:00; 0,97564;  27,06570;  26,89380;   0,00000;   0,00000;  44,67349;   0,73785;  67,40145;   8,08611;   8,30710; 162,14342;-9999,00000
2021-04-12 01:00:00; 1,01131;  27,04311;  26,90004;   0,00000;   0,00000;  44,67994;   0,84650;  67,78509;   7,73970;   8,12650; 161,75793;-9999,00000
2021-04-12 02:00:00; 1,28407;  27,04866;  26,90892;   0,00000;   0,00000;  44,68779;   0,99076;  67,39383;   7,74108;   7,96327; 168,78280;-9999,00000
2021-04-11 23:00:00; 0,94488;  27,09697;  26,89339;   0,00000;   0,00000;  44,67267;   0,65226;  74,83310;   8,18933;   8,50861; 157,75488;-9999,00000
2021-04-11 22:00:00; 0,31796;  27,11091;  26,88282;   0,00000;   0,00000;  44,67349;   0,14512;  83,39145;   7,99578;   8,72920; 118,25524;-9999,00000
2021-04-12 19:00:00; 1,08753;  26,92480;  26,76687;   0,00000;   0,00000;  44,14671;   0,67909;  62,28311;  14,76563;  10,29206; 312,96848;-9999,00000
2021-04-10 19:00:00; 0,45842;  27,36031;  26,85373;   0,00000;   0,00000;  45,11429;   0,18422;  69,10849;   8,13250;   8,69002;  52,10113;-9999,00000
2021-04-10 20:00:00; 0,64027;  27,35642;  26,86781;   0,00000;   0,00000;  45,13356;   0,36767;  71,01257;   7,45006;   8,43924; 142,98535;-9999,00000
2021-04-10 16:00:00; 1,61509;  27,43844;  26,82082;  39,83279;   0,00000;  45,08521;   1,25650;  43,23055;  16,02083;   9,09657; 181,25284;-9999,00000
2021-04-10 18:00:00; 0,35144;  27,39770;  26,85316;   0,00000;   0,00000;  45,09230;   0,22968;  56,23114;  11,91715;   8,89175;  80,08521;-9999,00000
2021-04-10 17:00:00; 1,08617;  27,39812;  26,83354;   2,66773;   0,00000;  45,08396;   0,74977;  48,23777;  14,20379;   9,02906; 174,63248;-9999,00000
2021-04-10 15:00:00; 2,42849;  27,41209;  26,85008; 119,01095;   0,00000;  45,10743;   1,81538;  37,50631;  17,46394;   9,08731; 198,13445;-9999,00000
2021-04-10 14:00:00; 3,42755;  27,44219;  26,86000; 369,99942;   0,00000;  45,12933;   2,50177;  36,38490;  18,38753;   8,96913; 186,33229;-9999,00000
2021-04-10 13:00:00; 3,19181;  27,43258;  26,89064; 520,17660;   0,00000;  45,16586;   2,22863;  36,65072;  18,80813;   8,71775; 177,42729;-9999,00000
2021-04-10 12:00:00; 4,37842;  27,45258;  26,89423; 596,48900;   0,00000;  45,26770;   3,29434;  35,83957;  18,15417;   8,35955; 188,74950;-9999,00000
2021-04-10 11:00:00; 4,41789;  27,46967;  26,91371; 725,60034;   0,00000;  45,35396;   2,85088;  37,30975;  17,79401;   7,88584; 184,30914;-9999,00000
2021-04-10 10:00:00; 3,85113;  27,47419;  26,95264; 547,25653;   0,00000;  45,39444;   2,72503;  38,62920;  16,89582;   7,39100; 180,97307;-9999,00000
2021-04-10 09:00:00; 3,35922;  27,50841;  26,96014; 703,28973;   0,00000;  45,45668;   2,16837;  41,38337;  15,98674;   6,84299; 178,12656;-9999,00000
2021-04-10 08:00:00; 2,58502;  27,52416;  26,97870; 613,16470;   0,00000;  45,53531;   1,74452;  45,00328;  14,66901;   6,34367; 175,10818;-9999,00000
2021-04-10 04:00:00; 1,33198;  27,40500;  26,99726;  24,13155;   0,00000;  45,59779;   1,01429;  70,65640;   1,02314;   6,04548; 149,20726;-9999,00000
2021-04-10 05:00:00; 1,54922;  27,43101;  27,00320; 168,27948;   0,00000;  45,56437;   1,16623;  64,90336;   3,59806;   5,92619; 151,91320;-9999,00000
2021-04-10 02:00:00; 1,03771;  27,44732;  26,94966;   0,00000;   0,00000;  45,73410;   0,78291;  64,03455;   1,92690;   6,32179; 145,61064;-9999,00000
2021-04-09 22:00:00; 1,23589;  27,53518;  26,86100;   0,00000;   0,00000;  45,69144;   0,94354;  52,05112;   4,74475;   6,98436; 157,30258;-9999,00000
2021-04-10 21:00:00; 0,32912;  27,32704;  26,89380;   0,00000;   0,00000;  45,13284;   0,15646;  72,70667;   6,48809;   8,17657;  92,93038;-9999,00000
2021-04-10 07:00:00; 1,89086;  27,53194;  26,99719; 494,70956;   0,00000;  45,59167;   1,36626;  52,47741;  11,58080;   6,01523; 149,82957;-9999,00000
2021-04-10 06:00:00; 1,77516;  27,49613;  27,00185; 338,18774;   0,00000;  45,57418;   1,32012;  59,02850;   7,29298;   5,89062; 147,61833;-9999,00000
2021-04-10 03:00:00; 1,49722;  27,41533;  26,96437;   0,00000;   0,00000;  45,71030;   1,08570;  68,65485;   1,04992;   6,18341; 138,73978;-9999,00000
2021-04-10 00:00:00; 0,72683;  27,44480;  26,90127;   0,00000;   0,00000;  45,66616;   0,47702;  60,12143;   2,37879;   6,66753; 142,02559;-9999,00000
2021-04-10 01:00:00; 1,05758;  27,44297;  26,94610;   0,00000;   0,00000;  45,71070;   0,83350;  60,40300;   2,46142;   6,48040; 157,21817;-9999,00000
2021-04-09 23:00:00; 0,95114;  27,49450;  26,87761;   0,00000;   0,00000;  45,69219;   0,72907;  54,29702;   3,71314;   6,83424; 150,88646;-9999,00000
2021-04-10 22:00:00; 0,18266;  27,29767;  26,93036;   0,00000;   0,00000;  45,13451;   0,02949;  79,39661;   4,69757;   7,91571;  23,13187;-9999,00000
2021-04-11 20:00:00; 0,53356;  27,17263;  26,85130;   0,00000;   0,00000;  44,65030;   0,25532;  71,81012;  11,41872;   9,03842;  86,29427;-9999,00000
2021-04-11 21:00:00; 0,29155;  27,12362;  26,85143;   0,00000;   0,00000;  44,67401;   0,13775;  78,75582;   9,20091;   8,92191; 122,09991;-9999,00000
2021-04-11 19:00:00; 0,73636;  27,17857;  26,85137;   0,00000;   0,00000;  44,63841;   0,46505;  71,25394;  12,18111;   9,10917; 102,28606;-9999,00000
2021-04-11 18:00:00; 0,48646;  27,15541;  26,85130;   0,00000;   0,00000;  44,64109;   0,26967;  66,65541;  13,10314;   9,17775; 146,14577;-9999,00000
2021-04-11 17:00:00; 1,33416;  27,14827;  26,85136;   0,89763;   0,00000;  44,64297;   0,94747;  62,46962;  13,82737;   9,24279; 192,45470;-9999,00000
2021-04-11 15:00:00; 4,51290;  27,14712;  26,86501;  36,67380;   0,00000;  44,63423;   3,44953;  43,80728;  16,84077;   9,26047; 206,95557;-9999,00000
2021-04-11 16:00:00; 3,22719;  27,14896;  26,85130;  13,07739;   0,00000;  44,64329;   2,37136;  59,34962;  14,31702;   9,28488; 206,66634;-9999,00000
2021-04-11 14:00:00; 2,72386;  27,14809;  26,85668; 113,74754;   0,00000;  44,65918;   2,12394;  38,92833;  18,89174;   9,15640; 184,18538;-9999,00000
2021-04-11 13:00:00; 3,36031;  27,15961;  26,84751; 206,88420;   0,00000;  44,70535;   2,44478;  36,39795;  19,51442;   8,96699; 174,27090;-9999,00000
2021-04-11 11:00:00; 2,81723;  27,19145;  26,92337; 444,54570;   0,00000;  44,83057;   2,15198;  35,25875;  20,04577;   8,31913; 156,87506;-9999,00000
2021-04-11 12:00:00; 3,08646;  27,17500;  26,89386; 458,77206;   0,00000;  44,77877;   2,23464;  34,94437;  20,54395;   8,67140; 161,00587;-9999,00000
2021-04-11 09:00:00; 2,57876;  27,24544;  26,96205; 623,96924;   0,00000;  44,98054;   1,81081;  40,03885;  18,60941;   7,46888; 143,24454;-9999,00000
2021-04-11 10:00:00; 2,26870;  27,21340;  26,94981; 388,59778;   0,00000;  44,90263;   1,66420;  39,73716;  18,92519;   7,93136; 153,01549;-9999,00000
2021-04-11 08:00:00; 2,12442;  27,27064;  26,97663; 471,21933;   0,00000;  45,03014;   1,51213;  44,91786;  15,90462;   7,05772; 133,27539;-9999,00000
2021-04-11 07:00:00; 1,91454;  27,29418;  27,00846; 386,42838;   0,00000;  45,09799;   1,38860;  49,75043;  13,90443;   6,74516; 150,91454;-9999,00000
2021-04-11 04:00:00; 0,76821;  27,19387;  27,02110;  36,72418;   0,00000;  45,18588;   0,56889;  77,59332;   3,52788;   6,63598; 115,87664;-9999,00000
2021-04-11 05:00:00; 1,46537;  27,23906;  27,02110; 180,65874;   0,00000;  45,17105;   0,98937;  66,61827;   7,13157;   6,54447; 129,89346;-9999,00000
2021-04-11 06:00:00; 1,79394;  27,29525;  27,02110; 348,53088;   0,00000;  45,14180;   1,27249;  57,45527;  10,94318;   6,56576; 142,79760;-9999,00000
2021-04-10 23:00:00; 0,50742;  27,27998;  26,95122;   0,00000;   0,00000;  45,14479;   0,25418;  84,10717;   2,99785;   7,65521;  43,28186;-9999,00000
2021-04-11 00:00:00; 0,54036;  27,26157;  26,98301;   0,00000;   0,00000;  45,16579;   0,24240;  86,30091;   2,03554;   7,40370;  52,10349;-9999,00000
2021-04-11 01:00:00; 0,72166;  27,23358;  27,01351;   0,00000;   0,00000;  45,18034;   0,42557;  81,85763;   3,50457;   7,17411; 129,46939;-9999,00000
2021-04-11 02:00:00; 0,54771;  27,20851;  27,02081;   0,00000;   0,00000;  45,18295;   0,30713;  81,83810;   3,00175;   6,98195; 115,04507;-9999,00000
