DATE; Napelem töltőfeszültség; Talajhőmérséklet 0 cm; Talajnedvesség 30 cm; Szélsebesség; Talajnedvesség 120 cm; Talajnedvesség 60 cm; Csapadék; Talajnedvesség 90 cm; Széllökés; Levélnedvesség; Fagy; Fényegység; Besugárzás; Külső akkufeszültség; Belső akkufeszültség; Levegő-páratartalom; Levegő-hőmérséklet; Szélirány; Légnyomás
2021-01-13 10:00:00; 22,53042;   0,97500;  30,46700;  18,25000;-9999,00000;  32,48008;   0,00000;  34,39399;  28,50000;   5,45455;-9999,00000;3895,00000; 268,75000;  13,86100;   4,24642;  64,81454;   3,92727; 224,25633;1003,54535
2021-01-13 09:00:00; 22,94642;   0,90000;  30,46700;   9,81818;-9999,00000;  32,48999;   0,00000;  34,39399;  20,63636;   5,00000;-9999,00000;3895,00000; 220,83333;  13,92275;   4,24825;  80,18916;   2,70833; 328,24997;1003,71660
2021-01-13 08:00:00; 22,78875;   0,90000;  30,46700;   8,16667;-9999,00000;  32,48999;   0,00000;  34,39399;  17,33333;   5,00000;-9999,00000;3895,00000; 147,50000;  13,90475;   4,25092;  86,96500;   1,52500; 356,63340;1003,50836
2021-01-13 07:00:00; 21,14917;   0,91667;  30,56616;   1,00000;-9999,00000;  32,48999;   0,00000;  34,39399;   5,00000;   5,00000;-9999,00000;3895,00000;  68,75000;  13,77900;   4,24650;  91,99583;  -0,28333;   0,00000;1003,23340
2021-01-13 06:00:00; 13,59834;   1,00000;  30,58600;   0,00000;-9999,00000;  32,48999;   0,00000;  34,39399;   1,36364;   5,00000;-9999,00000;2010,00000;   7,91667;  12,77408;   4,23992;  95,06091;  -1,14545;   0,00000;1002,94540
2021-01-13 05:00:00; 0,49575;   1,03636;  30,58600;   0,00000;-9999,00000;  32,48999;   0,00000;  34,39399;   0,00000;   5,00000;-9999,00000;   1,66667;   0,00000;  12,73650;   4,24108;  96,19749;  -0,79167; 356,59073;1002,61664
2021-01-13 04:00:00; 0,00000;   1,10000;  30,58600;   1,45455;-9999,00000;  32,48999;   0,00000;  34,39399;   8,90909;   5,00000;-9999,00000;1622,91660;   0,00000;  12,74942;   4,23975;  96,53417;  -0,82500; 349,82574;1002,44170
2021-01-13 03:00:00; 0,00000;   1,10000;  30,58600;   0,91667;-9999,00000;  32,49991;   0,00000;  34,39399;   7,08333;   5,00000;-9999,00000;   0,00000;   0,00000;  12,76442;   4,24092;  95,92000;  -0,82727; 321,83930;1002,10004
2021-01-13 02:00:00; 0,00000;   1,10000;  30,58600;   0,08333;-9999,00000;  32,50081;   0,00000;  34,39399;   2,75000;   5,00000;-9999,00000;   0,00000;   0,00000;  12,77192;   4,24092;  95,85251;  -0,86667; 335,00140;1002,48340
2021-01-13 01:00:00; 0,00000;   1,10000;  30,58600;   0,18182;-9999,00000;  32,50983;   0,00000;  34,39399;   2,63636;   5,45455;-9999,00000;   0,00000;   0,00000;  12,77958;   4,23942;  95,45667;  -0,87500; 306,15460;1002,31670
2021-01-13 00:00:00; 0,00000;   1,10000;  30,58600;   0,16667;-9999,00000;  32,51975;   0,00000;  34,39399;   2,66667;   5,00000;-9999,00000;   0,00000;   0,00000;  12,78842;   4,24100;  95,96909;  -1,03636; 316,32343;1002,61816
