DATE; Széllökés; Talajnedvesség 90 cm; Talajnedvesség 60 cm; Csapadék; Talajnedvesség 30 cm; Fényegység; Levegő-páratartalom; Levélnedvesség; Belső akkufeszültség; Légnyomás; Fagy; Levegő-hőmérséklet; Napelem töltőfeszültség; Talajnedvesség 120 cm; Besugárzás; Szélsebesség; Talajhőmérséklet 0 cm; Külső akkufeszültség; Szélirány
2021-01-16 00:00:00; 3,42160;  19,99798;  15,38964;   0,00000;  16,41215; 402,24042;  80,35905;   1,53310;   4,24353;1005,43860;-9999,00000;  -3,69722;   7,50705;-9999,00000;  41,70732;   0,51916;  -0,56794;  12,96541; 278,31833
2021-02-02 00:00:00; 4,13194;  19,99507;  15,94900;   0,00000;  17,47084; 280,26736;  98,95750;   0,85069;   4,24186; 998,42900;-9999,00000;  -0,38576;   6,81504;-9999,00000;  21,05903;   1,56597;   1,25382;  12,77158; 159,13400
2021-02-01 00:00:00; 2,97917;  19,92600;  15,94900;   0,00151;  17,54522; 364,77777;  85,91798;   0,20833;   4,24364; 989,52170;-9999,00000;  -0,92014;   7,18917;-9999,00000;  34,44444;   0,45833;   1,00035;  12,91061;  53,81753
2021-01-30 00:00:00; 3,71528;  19,76111;  15,69405;   0,00000;  17,63032; 317,85416;  88,51133;   2,10069;   4,24503; 985,78110;-9999,00000;   5,91736;   7,59451;-9999,00000;  49,02778;   1,61458;   1,87708;  12,95420; 260,06348
2021-01-31 00:00:00; 9,95486;  19,85076;  15,85111;   0,00753;  17,57374; 516,74650;  84,99100;   2,44792;   4,24425; 990,03830;-9999,00000;   0,12882;   7,48384;-9999,00000;  47,23958;   3,26042;   1,49896;  12,99049;  47,11492
2021-01-29 00:00:00; 4,42014;  19,83177;  15,47297;   0,01281;  17,03109; 409,36460;  98,34323;   5,00000;   4,24405; 987,42993;-9999,00000;   3,87431;   6,83977;-9999,00000;  22,22222;   1,88194;   0,21181;  12,82498; 238,88054
2021-03-06 00:00:00; 2,90278;  19,86604;  14,99703;   0,00075;  16,07177; 418,38675;  60,52490;   0,32986;   4,24384;1016,07434;-9999,00000;   1,98611;   9,74666;-9999,00000;  98,93728;   0,57986;   4,66551;-9999,00000; 321,10156
2021-02-22 00:00:00; 2,86458;  20,07183;  15,74568;   0,00000;  17,26462; 438,98960;  88,21286;   2,48264;   4,24512;1015,06530;-9999,00000;   4,83681;   9,17966;-9999,00000; 111,52778;   1,06250;   3,54375;  13,11280; 102,79633
2021-02-23 00:00:00; 1,52265;  20,07761;  15,71260;   0,00000;  17,15879; 390,30554;  87,57620;   3,10105;   4,24512;1018,91530;-9999,00000;   6,15749;   9,19913;-9999,00000; 112,43056;   0,40418;   4,16805;  13,09428; 348,95868
2021-02-21 00:00:00; 5,37500;  20,02149;  15,66966;   0,00000;  17,37449; 422,34375;  90,68784;   1,14583;   4,24391;1015,63140;-9999,00000;   4,54271;   9,10324;-9999,00000; 106,78819;   2,13194;   3,36250;  13,09679; 112,51601
2021-02-20 00:00:00; 5,08333;  20,07596;  15,43829;   0,01055;  16,98115; 343,18750;  97,93658;   2,17014;   4,24198;1013,06683;-9999,00000;   2,78750;   7,32379;-9999,00000;  21,52778;   1,38194;   1,36805;  12,84706;  69,35045
2021-02-04 00:00:00; 7,55903;  19,99507;  15,81266;   0,00301;  17,27122; 465,03820;  77,17151;   1,19792;   4,24706; 999,55830;-9999,00000;   9,19097;   8,33138;-9999,00000;  72,58681;   2,92014;   5,10521;  13,01919; 280,65910
2021-02-03 00:00:00; 7,73611;  19,99425;  15,85770;   0,00075;  17,36664; 433,67360;  90,78120;   2,23958;   4,24501; 997,71190;-9999,00000;   6,07743;   7,70191;-9999,00000;  48,45486;   3,81597;   3,00659;  12,96067; 185,60275
2021-02-15 00:00:00; 2,17647;  20,43552;  15,81763;   0,00000;  16,68866; 525,13890;  74,03169;   0,00000;   4,24309;1020,29910;-9999,00000;  -3,04637;   9,10060;-9999,00000; 101,14584;   0,47059;  -1,27222;  13,15719; 280,37480
