DATE; Talajhőmérséklet 0 cm; Külső akkufeszültség; Fényegység; Széllökés; Talajnedvesség 60 cm; Talajnedvesség 90 cm; Talajnedvesség 120 cm; Levélnedvesség; Levegő-páratartalom; Szélsebesség; Besugárzás; Talajnedvesség 30 cm; Napelem töltőfeszültség; Légnyomás; Szélirány; Belső akkufeszültség; Fagy; Csapadék; Levegő-hőmérséklet
2021-04-28 04:00:00; 10,30000;  12,77542;3817,66670;   3,36364;-9999,00000;  21,78000;-9999,00000;   4,16667;  74,60917;   1,18182;  16,25000;  24,04100;  16,09875;1002,42500; 107,61845;   4,19908;-9999,00000;   0,00000;   8,08333
2021-04-28 05:00:00; 10,26364;  12,87225;3895,00000;   3,91667;-9999,00000;  21,79081;-9999,00000;   0,00000;  77,81250;   1,50000;  44,58333;  24,04100;  16,82000;1002,59990;  94,48698;   4,19825;-9999,00000;   0,00000;   8,67500
2021-04-28 06:00:00; 10,15833;  13,30083;3895,00000;   5,50000;-9999,00000;  21,78000;-9999,00000;   0,00000;  82,08916;   2,58333;  76,25000;  24,04100;  17,21425;1002,64996;  74,68348;   4,19758;-9999,00000;   0,00000;   9,94167
2021-04-28 10:00:00; 10,14166;  13,43983;3895,00000;   8,66667;-9999,00000;  21,78000;-9999,00000;   0,00000;  84,63917;   4,25000; 235,00000;  24,04100;  19,19342;1003,12500; 113,38776;   4,21392;-9999,00000;   0,00000;  12,64167
2021-04-28 11:00:00; 10,24546;  13,32275;3895,00000;   6,58333;-9999,00000;  21,78000;-9999,00000;   0,00000;  83,67333;   3,16667; 132,08333;  24,04100;  18,91267;1002,95830; 118,33104;   4,21067;-9999,00000;   0,00000;  12,91667
2021-04-28 07:00:00; 10,10000;  13,35742;3895,00000;   6,72727;-9999,00000;  21,78000;-9999,00000;   0,00000;  85,98000;   3,36364;  97,72727;  24,04100;  18,66900;1002,82720; 139,29486;   4,19725;-9999,00000;   0,00000;  10,83636
2021-04-28 08:00:00; 10,10000;  13,35383;3895,00000;   4,58333;-9999,00000;  21,78000;-9999,00000;   1,66667;  86,68667;   1,58333;  76,66666;  24,04100;  17,73667;1003,30005; 136,86237;   4,19575;-9999,00000;   0,00000;  11,11667
2021-04-28 09:00:00; 10,10000;  13,40292;3895,00000;   4,09091;-9999,00000;  21,78000;-9999,00000;   3,33333;  90,16833;   1,27273; 161,25000;  24,04100;  19,28917;1003,28340; 136,95560;   4,20667;-9999,00000;   0,00000;  11,37500
2021-04-27 22:00:00; 10,82500;  12,91450;   3,50000;  10,33333;-9999,00000;  21,78000;-9999,00000;   0,00000;  45,15833;   5,91667;   0,00000;  24,04100;   0,01050;1002,62494;  60,85349;   4,20383;-9999,00000;   0,00000;   9,97500
2021-04-27 23:00:00; 10,75000;  12,89634;   3,66667;   6,72727;-9999,00000;  21,78000;-9999,00000;   0,00000;  49,94500;   3,27273;   0,00000;  24,04100;   0,01042;1002,55005;  62,77032;   4,20283;-9999,00000;   0,00000;   9,40833
2021-04-28 00:00:00; 10,61667;  12,87383;   0,00000;   3,33333;-9999,00000;  21,78000;-9999,00000;   0,45455;  57,61818;   0,41667;   0,00000;  24,04100;   0,00275;1002,37270;  63,68590;   4,20158;-9999,00000;   0,00000;   8,66363
2021-04-28 01:00:00; 10,55454;  12,85042;   0,33333;   5,16667;-9999,00000;  21,78000;-9999,00000;   1,66667;  64,35334;   2,41667;   0,00000;  24,04100;   0,00375;1002,20830;  90,04482;   4,20083;-9999,00000;   0,00000;   8,05833
