DATE; Szélirány; Belső akkufeszültség; Besugárzás; Levélnedvesség; Talajhőmérséklet 0 cm; Légnyomás; Csapadék; Napelem töltőfeszültség; Külső akkufeszültség; Fagy; Szélsebesség; Talajnedvesség 90 cm; Széllökés; Levegő-páratartalom; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Fényegység; Levegő-hőmérséklet
2021-01-27 06:00:00; 356,70477;   4,21692;  15,83333;   5,00000;   1,10000;1003,90840;   0,00000;  16,39350;  12,53650;-9999,00000;   1,08333;  25,46900;   5,25000;  91,97750;  23,44600;  27,24408; 452,58334;  -3,25000
2021-01-27 10:00:00; 2,45367;   4,22642; 328,33334;   5,00000;   1,00000;1004,26666;   0,00000;  21,62267;  13,74692;-9999,00000;   2,18182;  25,35000;   7,09091;  87,01166;  23,35675;  27,14492;1740,66660;   1,02500
2021-01-27 19:00:00; 350,49870;   4,22925;   0,00000;   5,00000;   1,07273;1003,77270;   0,00000;   0,00000;  12,76600;-9999,00000;   0,00000;  25,23100;   0,00000;  93,75455;  23,20799;  27,13500; 104,75000;  -1,82727
2021-01-26 20:00:00; 345,28220;   4,21925;   0,00000;   5,00000;   1,99167;1003,92505;   0,00000;   0,00000;  12,61075;-9999,00000;   0,66667;  25,58800;   4,25000;  87,37167;  23,54336;  27,49200;  97,58334;  -0,05000
2021-01-26 21:00:00; 341,76385;   4,22008;   0,00000;   5,00000;   1,84167;1004,06354;   0,00000;   0,00000;  12,59800;-9999,00000;   0,08333;  25,58800;   3,00000;  87,57909;  23,54517;  27,49200; 400,91666;  -0,65455
2021-01-26 22:00:00; 334,47995;   4,22033;   0,00000;   5,45455;   1,70000;1004,23640;   0,00000;   0,00000;  12,57625;-9999,00000;   0,20000;  25,58800;   3,40000;  87,20545;  23,56500;  27,49200;  71,33334;  -1,10000
2021-01-26 18:00:00; 343,67624;   4,22125;   0,00000;   5,00000;   2,41667;1003,58180;   0,00000;   0,00000;  12,65892;-9999,00000;   0,08333;  25,70700;   1,08333;  92,52454;  23,55508;  27,49200;  94,25000;  -0,18182
2021-01-26 19:00:00; 310,45135;   4,21975;   0,00000;   5,00000;   2,16667;1003,70013;   0,00000;   0,00000;  12,63258;-9999,00000;   0,45455;  25,63758;   3,54545;  90,71334;  23,56500;  27,49200;  80,66666;   0,16667
2021-01-26 16:00:00; 345,95290;   4,21850;   0,00000;   5,41667;   3,00833;1003,22485;   0,00000;   0,03808;  12,69983;-9999,00000;   0,08333;  25,70700;   0,50000;  91,74332;  23,56500;  27,46225; 439,33334;   1,15000
2021-01-26 17:00:00; 345,92390;   4,21992;   0,00000;   5,00000;   2,72727;1003,53340;   0,00000;   0,00000;  12,68833;-9999,00000;   0,00000;  25,70700;   0,81818;  91,57416;  23,56500;  27,49200; 726,41670;   0,63333
2021-01-26 14:00:00; 351,09897;   4,22000;  20,38462;   3,07692;   3,40000;1002,30005;   0,01746;  15,73300;  12,75475;-9999,00000;   3,08333;  25,73446;   9,08333;  88,93334;  23,68399;  27,53777; 242,41667;   2,51667
2021-01-26 15:00:00; 358,68033;   4,22050;   1,66667;   5,00000;   3,28333;1002,80817;   0,00000;   7,88483;  12,72533;-9999,00000;   0,25000;  25,70700;   2,25000;  91,64500;  23,56500;  27,47037; 415,91666;   1,61667
2021-01-26 12:00:00; 352,24146;   4,21973;  57,27273;   0,00000;   3,33636;1001,21814;   0,00000;  16,87000;  12,96018;-9999,00000;   1,72727;  25,81517;   6,27273;  88,98636;  23,68399;  27,61099; 681,27270;   3,20000
2021-01-26 13:00:00; 0,77409;   4,22131;  44,09091;   4,16667;   3,40000;1001,81665;   0,00000;  16,92046;  12,82015;-9999,00000;   1,91667;  25,82599;   6,75000;  87,71500;  23,66416;  27,61099; 283,84616;   2,65833
2021-01-26 09:00:00; 348,92822;   4,22342; 148,75000;   0,00000;   2,35833;1000,82720;   0,00000;  17,79933;  13,43166;-9999,00000;   0,75000;  25,84583;   4,50000;  91,50272;  23,80300;  27,61099; 656,00000;   1,78182
2021-01-26 10:00:00; 342,01825;   4,22217;  75,00000;   0,00000;   2,85000;1001,05000;   0,00000;  16,92083;  13,08608;-9999,00000;   0,91667;  25,82599;   4,00000;  90,44750;  23,80300;  27,61099; 416,83334;   2,55000
2021-01-26 11:00:00; 347,01690;   4,22125;  87,50000;   0,00000;   3,11818;1001,09160;   0,00000;  16,92775;  13,06283;-9999,00000;   1,63636;  25,82599;   5,54545;  90,73333;  23,71374;  27,61099;1310,16660;   2,99167
2021-01-25 23:00:00; 326,33440;   4,22375;   0,00000;   5,00000;   2,40000; 995,75000;   0,00000;   0,00000;  12,66325;-9999,00000;   0,08333;  26,18299;   0,66667;  91,51417;  24,24925;  28,08699; 902,41670;   0,53333
2021-01-26 00:00:00; 326,39304;   4,22358;   0,00000;   0,41667;   2,30909; 995,93340;   0,00000;   0,00000;  12,64675;-9999,00000;   0,00000;  26,14333;   0,75000;  91,27667;  24,15008;  27,98783; 441,75000;   0,40833
2021-01-26 01:00:00; 326,37698;   4,22375;   0,00000;   0,00000;   2,24167; 996,11816;   0,00000;   0,00000;  12,62758;-9999,00000;   0,00000;  26,06400;   2,36364;  91,41818;  24,16000;  27,96800; 728,66670;   0,25455
2021-01-26 02:00:00; 321,50314;   4,22358;   0,00000;   0,00000;   2,10000; 996,31665;   0,00000;   0,00000;  12,61267;-9999,00000;   0,33333;  26,06400;   2,50000;  90,99833;  24,08066;  27,96800;  85,66666;   0,20833
2021-01-26 03:00:00; 305,61823;   4,22233;   0,00000;   0,00000;   2,01667; 996,97504;   0,00000;   0,00000;  12,59375;-9999,00000;   0,27273;  26,06400;   2,00000;  91,90084;  24,04100;  27,88145; 588,08330;   0,10000
2021-01-26 04:00:00; 297,56622;   4,22233;   0,00000;   0,00000;   1,90000; 997,69995;   0,00000;   0,00000;  12,58742;-9999,00000;   0,00000;  26,02433;   0,91667;  92,54000;  24,04100;  27,84900; 130,58333;   0,04167
2021-01-26 05:00:00; 297,53650;   4,22092;   0,00000;   5,00000;   1,85000; 998,20905;   0,00000;   2,45442;  12,57092;-9999,00000;   0,00000;  25,94500;   0,33333;  93,18183;  23,90216;  27,79941; 402,25000;  -0,27273
2021-01-26 06:00:00; 289,42480;   4,22333;  18,18182;   5,00000;   1,80000; 998,87270;   0,00000;  16,15467;  12,60708;-9999,00000;   0,00000;  25,94500;   0,60000;  93,76364;  23,92200;  27,80572; 355,41666;  -0,22727
2021-01-26 07:00:00; 323,14798;   4,22383;  79,16666;   1,15385;   1,80000; 999,46160;   0,00000;  16,95708;  13,09133;-9999,00000;   1,07692;  25,93584;   5,07692;  93,37231;  23,92200;  27,70025; 437,91666;   0,40769
2021-01-26 08:00:00; 346,23996;   4,22017; 104,61539;   0,00000;   1,96667;1000,19165;   0,00000;  16,95608;  13,14467;-9999,00000;   0,45455;  25,94500;   3,27273;  92,73917;  23,84267;  27,70025; 802,58330;   0,99167
2021-01-25 22:00:00; 320,65814;   4,22367;   0,00000;   5,00000;   2,51667; 995,69100;   0,00000;   0,00000;  12,67817;-9999,00000;   0,72727;  26,18299;   4,45455;  90,49727;  24,27899;  28,08700;1066,25000;   1,14545
2021-01-25 14:00:00; 270,61536;   4,22658;  10,00000;   0,00000;   4,34167; 993,11670;   0,00000;  13,91342;  12,81092;-9999,00000;  11,00000;  26,51836;  16,54545;  84,53249;  24,94341;  28,51341; 295,25000;   3,75833
2021-01-25 09:00:00; 284,56094;   4,22367; 253,75000;   2,69231;   3,13846; 991,19995;   0,00000;  21,21866;  13,63742;-9999,00000;  14,76923;  26,67883;  23,30769;  86,51000;  25,54223;  29,03900;1376,16660;   2,62500
