DATE; Napelem töltőfeszültség; Talajhőmérséklet 0 cm; Levélnedvesség; Széllökés; Fényegység; Szélirány; Levegő-hőmérséklet; Talajnedvesség 120 cm; Külső akkufeszültség; Talajnedvesség 60 cm; Belső akkufeszültség; Fagy; Levegő-páratartalom; Talajnedvesség 90 cm; Csapadék; Légnyomás; Besugárzás; Talajnedvesség 30 cm; Szélsebesség
2021-03-05 00:40:00; 0,00000;   4,80000;  10,00000;   0,00000;   0,50000; 332,55142;   4,00000;-9999,00000;-9999,00000;  32,72800;   4,24300;-9999,00000;  74,53500;  34,27500;   0,00000;1005,65000;   0,00000;  30,70500;   0,00000
2021-03-05 01:30:00; 0,00000;   4,70000;  10,00000;   0,00000;   0,00000; 333,25507;   5,15000;-9999,00000;-9999,00000;  32,72800;   4,24150;-9999,00000;  70,08000;  34,27500;   0,00000;1005,05000;   0,00000;  30,70500;   0,00000
2021-03-05 02:30:00; 0,00000;   4,60000;  10,00000;   0,00000;   0,50000; 332,55142;   4,95000;-9999,00000;-9999,00000;  32,72800;   4,24400;-9999,00000;  72,30000;  34,27500;   0,00000;1004,65000;   0,00000;  30,70500;   0,00000
2021-03-05 02:50:00; 0,00000;   4,60000;  10,00000;   0,00000;   2,50000; 332,55142;   4,95000;-9999,00000;-9999,00000;  32,72800;   4,24350;-9999,00000;  71,98000;  34,27500;   0,00000;1004,50000;   0,00000;  30,70500;   0,00000
2021-03-05 01:00:00; 0,00000;   4,80000;  10,00000;   0,00000;   0,00000; 334,66254;   4,50000;-9999,00000;-9999,00000;  32,72800;   4,24100;-9999,00000;  72,73500;  34,27500;   0,00000;1005,40000;   0,00000;  30,70500;   0,00000
2021-03-05 01:10:00; 0,00000;   4,80000;  10,00000;   0,00000;   0,00000; 336,07050;   4,90000;-9999,00000;-9999,00000;  32,60900;   4,24450;-9999,00000;  71,46500;  34,27500;   0,00000;1005,20000;   0,00000;  30,70500;   0,00000
2021-03-05 01:20:00; 0,00000;   4,80000;  10,00000;   0,00000;   1,00000; 333,95923;   5,10000;-9999,00000;-9999,00000;  32,66850;   4,24350;-9999,00000;  70,48000;  34,27500;   0,00000;1005,15000;   0,00000;  30,70500;   0,00000
2021-03-05 03:00:00; 0,00000;   4,60000;  10,00000;   0,00000;   0,50000; 332,55142;   4,75000;-9999,00000;-9999,00000;  32,72800;   4,24200;-9999,00000;  73,06000;  34,27500;   0,00000;1004,45000;   0,00000;  30,70500;   0,00000
2021-03-05 03:20:00; 0,00000;   4,60000;  10,00000;   0,00000;   0,00000; 333,25507;   4,90000;-9999,00000;-9999,00000;  32,72800;   4,24400;-9999,00000;  72,82500;  34,27500;   0,00000;1004,55000;   0,00000;  30,70500;   0,00000
2021-03-05 01:50:00; 0,00000;   4,70000;  10,00000;   0,00000;   0,50000; 332,55142;   5,30000;-9999,00000;-9999,00000;  32,72800;   4,24050;-9999,00000;  69,68500;  34,27500;   0,00000;1004,90000;   0,00000;  30,70500;   0,00000
2021-03-05 02:20:00; 0,00000;   4,65000;  10,00000;   0,00000;   0,00000; 332,72748;   4,95000;-9999,00000;-9999,00000;  32,72800;   4,24150;-9999,00000;  71,79500;  34,27500;   0,00000;1004,70000;   0,00000;  30,70500;   0,00000
2021-03-05 03:50:00; 0,00000;   4,55000;  10,00000;   0,00000;   1,50000; 338,35810;   5,25000;-9999,00000;-9999,00000;  32,72800;   4,24300;-9999,00000;  71,66499;  34,27500;   0,00000;1004,50000;   0,00000;  30,70500;   0,00000
2021-03-05 01:40:00; 0,00000;   4,70000;  10,00000;   0,50000;   0,00000; 332,72748;   5,35000;-9999,00000;-9999,00000;  32,72800;   4,24550;-9999,00000;  69,46000;  34,27500;   0,00000;1004,95000;   0,00000;  30,70500;   0,00000
2021-03-05 03:10:00; 0,00000;   4,60000;  10,00000;   0,00000;   0,00000; 332,55142;   4,90000;-9999,00000;-9999,00000;  32,66850;   4,24200;-9999,00000;  72,83000;  34,27500;   0,00000;1004,50000;   0,00000;  30,70500;   0,00000
2021-03-05 03:30:00; 0,00000;   4,60000;  10,00000;   0,00000;   0,00000; 333,25507;   4,60000;-9999,00000;-9999,00000;  32,72800;   4,24150;-9999,00000;  74,13000;  34,27500;   0,00000;1004,50000;   0,00000;  30,70500;   0,00000
2021-03-05 03:40:00; 0,00000;   4,60000;  10,00000;   0,00000;   0,50000; 334,83850;   5,20000;-9999,00000;-9999,00000;  32,72800;   4,24100;-9999,00000;  71,84000;  34,27500;   0,00000;1004,50000;   0,00000;  30,70500;   0,00000
2021-03-05 04:50:00; 4,81300;   4,40000;  10,00000;   0,00000;  58,50000;   0,00000;   6,00000;-9999,00000;-9999,00000;  32,72800;   4,24150;-9999,00000;  69,75500;  34,27500;   0,00000;1004,30000;   0,00000;  30,64550;   0,00000
2021-03-05 02:00:00; 0,00000;   4,65000;  10,00000;   0,00000;   0,00000; 332,55142;   5,25000;-9999,00000;-9999,00000;  32,72800;   4,24400;-9999,00000;  69,83000;  34,27500;   0,00000;1004,80000;   0,00000;  30,70500;   0,00000
2021-03-05 02:10:00; 0,00000;   4,65000;  10,00000;   0,00000;   0,00000; 332,55142;   5,30000;-9999,00000;-9999,00000;  32,72800;   4,24400;-9999,00000;  69,51000;  34,27500;   0,00000;1004,85000;   0,00000;  30,70500;   0,00000
2021-03-05 13:00:00; 16,85800;   6,00000;  10,00000;   5,50000;3895,00000;   0,00000;   9,80000;-9999,00000;-9999,00000;  32,60900;   4,24800;-9999,00000;  81,60500;  34,27500;   0,00000;1006,10000;  95,00000;  30,58600;   0,00000
2021-03-05 14:00:00; 18,07900;   6,10000;  10,00000;  18,50000;3895,00000;   0,00000;  10,45000;-9999,00000;-9999,00000;  32,60900;   4,24700;-9999,00000;  79,42500;  34,27500;   0,00000;1006,45000; 120,00000;  30,58600;   0,50000
2021-03-05 14:20:00; 17,92650;   6,20000;  10,00000;  26,00000;3895,00000; 356,48120;   9,90000;-9999,00000;-9999,00000;  32,60900;   4,24700;-9999,00000;  74,01000;  34,27500;   0,00000;1006,95000; 145,00000;  30,58600;  11,00000
2021-03-05 15:50:00; 16,79950;   6,30000;  10,00000;   8,50000;3895,00000; 355,60135;   9,10000;-9999,00000;-9999,00000;  32,60900;   4,24700;-9999,00000;  67,59500;  34,27500;   0,00000;1008,05000;  77,50000;  30,58600;   2,00000
2021-03-05 16:10:00; 13,81750;   6,20000;  10,00000;  26,50000;2969,50000;  75,83589;   6,40000;-9999,00000;-9999,00000;  32,72800;   4,24550;-9999,00000;  81,24000;  34,27500;   0,00000;1009,00000;  17,50000;  30,58600;  18,00000
2021-03-05 17:10:00; 0,00000;   6,10000;  10,00000;  19,00000;   0,00000;  70,90913;   3,95000;-9999,00000;-9999,00000;  32,72800;   4,24750;-9999,00000;  84,98500;  34,27500;   0,00000;1011,05000;   0,00000;  30,70500;   5,00000
2021-03-05 17:20:00; 0,00000;   6,00000;  10,00000;  17,50000;   2,00000;  79,88289;   4,00000;-9999,00000;-9999,00000;  32,72800;   4,24250;-9999,00000;  85,69500;  34,27500;   0,00000;1011,05000;   0,00000;  30,70500;   1,50000
2021-03-05 17:30:00; 0,00000;   5,95000;  10,00000;  23,50000;   1,00000;  78,65080;   3,95000;-9999,00000;-9999,00000;  32,72800;   4,24450;-9999,00000;  85,06000;  34,27500;   0,00000;1011,25000;   0,00000;  30,70500;  10,50000
2021-03-05 17:40:00; 0,00000;   5,90000;  10,00000;  13,50000;   0,00000;  81,81824;   3,80000;-9999,00000;-9999,00000;  32,72800;   4,24600;-9999,00000;  85,17500;  34,27500;   0,00000;1011,50000;   0,00000;  30,70500;   4,50000
2021-03-05 18:20:00; 0,00000;   5,80000;  10,00000;   9,00000;   0,00000;  84,80930;   3,70000;-9999,00000;-9999,00000;  32,72800;   4,24350;-9999,00000;  83,42000;  34,27500;   0,00000;1012,20000;   0,00000;  30,70500;   1,00000
2021-03-05 18:40:00; 0,00000;   5,65000;  10,00000;   7,00000;   1,00000;  60,00010;   3,65000;-9999,00000;-9999,00000;  32,72800;   4,24450;-9999,00000;  83,86000;  34,27500;   0,00000;1012,55000;   0,00000;  30,70500;   0,00000
2021-03-05 19:10:00; 0,00000;   5,50000;  10,00000;  15,50000;   0,00000;  60,35212;   3,70000;-9999,00000;-9999,00000;  32,72800;   4,24650;-9999,00000;  82,08501;  34,27500;   0,00000;1013,25000;   0,00000;  30,70500;   1,00000
2021-03-05 19:40:00; 0,00000;   5,40000;  10,00000;  21,00000;   0,00000;  59,12032;   3,60000;-9999,00000;-9999,00000;  32,72800;   4,24450;-9999,00000;  81,48000;  34,27500;   0,00000;1013,95000;   0,00000;  30,70500;   5,00000
