DATE; Levegő-hőmérséklet; Belső akkufeszültség; Külső akkufeszültség; Levegő-páratartalom; Napelem töltőfeszültség; Légnyomás; Szélirány; Talajhőmérséklet 0 cm; Csapadék; Levélnedvesség; Talajnedvesség 30 cm; Talajnedvesség 120 cm; Szélsebesség; Talajnedvesség 90 cm; Fényegység; Fagy; Széllökés; Talajnedvesség 60 cm; Besugárzás
2021-04-28 07:00:00; 9,35833;   4,24633;  13,58692;  55,39250;  20,36933; 997,92505;  71,36806;  11,39167;   0,00000;   0,00000;  17,85300;-9999,00000;   2,50000;  20,82800; 555,83330;-9999,00000;   7,58333;  16,42500; 199,58333
2021-04-28 06:00:00; 7,92500;   4,24425;  13,41042;  57,42750;  19,14358; 997,88336;  55,96276;  11,15000;   0,00000;   0,00000;  17,85300;-9999,00000;   1,83333;  20,86767; 551,66670;-9999,00000;   6,08333;  16,42500; 128,33333
2021-04-28 05:00:00; 6,95000;   4,24333;  12,86708;  56,33750;  16,94533; 997,82500;  38,07459;  11,12500;   0,00000;   0,00000;  17,88275;-9999,00000;   1,50000;  20,91725; 717,08330;-9999,00000;   5,58333;  16,42500;  47,50000
2021-04-28 04:00:00; 7,09167;   4,24383;  12,78475;  54,37917;  16,84350; 997,70830;  42,52731;  11,24166;   0,00000;   0,00000;  17,93233;-9999,00000;   1,41667;  20,88750; 368,25000;-9999,00000;   4,75000;  16,42500;  27,91667
2021-04-28 03:00:00; 7,34167;   4,24475;  12,81425;  54,73833;   9,28992; 997,41675;  73,19648;  11,35834;   0,00000;   0,00000;  17,97200;-9999,00000;   0,00000;  20,86766; 649,08330;-9999,00000;   0,16667;  16,42500;   3,33333
2021-04-28 02:00:00; 7,56667;   4,24327;  12,84018;  56,55084;   0,01173; 997,42505;  73,13249;  11,50909;   0,00000;   0,00000;  17,92873;-9999,00000;   0,00000;  20,90372;   0,72727;-9999,00000;   1,45455;  16,42500;   0,00000
2021-04-28 01:00:00; 7,55000;   4,24438;  12,86315;  58,37917;   0,00000; 997,67505;  73,19648;  11,67692;   0,00000;   0,00000;  17,97200;-9999,00000;   0,00000;  20,87377; 447,53845;-9999,00000;   0,46154;  16,45246;   0,00000
2021-04-28 00:00:00; 8,17500;   4,24455;  12,88855;  49,82333;   0,00000; 997,70000;  73,16476;  11,89091;   0,00000;   0,00000;  17,97200;-9999,00000;   0,00000;  20,88209; 354,27274;-9999,00000;   1,18182;  16,47909;   0,00000
2021-04-27 23:00:00; 8,60833;   4,24515;  12,91085;  47,44834;   0,00000; 998,08344;  73,16948;  12,17692;   0,00000;   0,00000;  17,97200;-9999,00000;   0,84615;  20,94700; 599,76920;-9999,00000;   3,92308;  16,54399;   0,00000
2021-04-25 22:00:00; 5,01667;   4,24358;  12,87400;  88,84250;   0,00000;1004,93330;  48,21120;  12,15833;   0,00000;   3,75000;  19,25125;-9999,00000;   0,16667;  21,06600; 155,91667;-9999,00000;   1,41667;  17,25800;   0,00000
2021-04-26 21:00:00; 8,42727;   4,24509;  12,92309;  64,60637;   0,00000;1000,88184; 134,42792;  11,95454;   0,00000;   0,00000;  18,44800;-9999,00000;   0,00000;  21,06600; 172,54546;-9999,00000;   0,00000;  16,90100;   0,00000
