DATE; Talajnedvesség 30 cm; Talajnedvesség 60 cm; Talajnedvesség 120 cm; Légnyomás; Talajhőmérséklet 0 cm; Szélirány; Levélnedvesség; Belső akkufeszültség; Besugárzás; Szélsebesség; Széllökés; Fényegység; Levegő-páratartalom; Levegő-hőmérséklet; Fagy; Külsõ akkufeszültség; Csapadék; Napelem töltőfeszültség; Talajnedvesség 90 cm
2021-01-19 00:00:00; 31,47979;  27,96426;-9999,00000;1007,13970;  -0,10000; 250,59952;   2,47368;   4,23516;  51,22776;   0,52330;   3,99642;1628,79160;  84,26753;  -0,15267;-9999,00000;  12,94982;   0,00228;   7,18802;  30,85150
2021-01-18 00:00:00; 30,72459;  27,93300;-9999,00000;1008,94240;  -0,08602; 297,40018;   2,71127;   4,23981;  44,55357;   0,20217;   1,90975;1619,37160;  85,61222;  -5,52643;-9999,00000;  12,94182;   0,00076;   7,05889;  30,82880
2021-01-17 00:00:00; 31,31868;  27,86089;-9999,00000;1003,81854;   0,00000; 325,69427;   0,00000;   4,22489;  33,14286;   0,35971;   2,96763;1570,88890;  88,62035;  -4,12036;-9999,00000;  12,59793;   0,00076;   5,92133;  30,94171
2021-01-07 00:00:00; 33,15760;  28,59378;-9999,00000;1000,36536;   3,23971; 320,64880;   3,39161;   4,24251;  51,98582;   0,55556;   2,10394;1680,73960;  90,33828;   1,66347;-9999,00000;  12,86590;   0,00076;   7,07365;  32,58992
2021-01-06 00:00:00; 33,35763;  28,74535;-9999,00000; 996,91675;   4,16206; 176,79470;   2,73519;   4,23079;  39,94681;   2,76071;   7,08571;1570,48610;  92,73129;   4,23145;-9999,00000;  12,75124;   0,00303;   6,35755;  32,91574
2021-01-05 00:00:00; 33,20320;  28,78236;-9999,00000; 996,85240;   4,41064; 277,46533;   1,82927;   4,22902;  18,31560;   2,12500;   6,55357;1503,45140;  93,91925;   4,08688;-9999,00000;  12,67498;   0,00076;   5,67075;  33,17118
2021-01-04 00:00:00; 33,31171;  28,91243;-9999,00000; 997,27170;   3,64841;  87,40358;   3,74564;   4,24139;  38,19149;   2,36559;   5,52330;1540,33680;  95,14374;   4,75760;-9999,00000;  12,86410;   0,00152;   6,58393;  33,62407
2021-01-14 00:00:00; 33,10281;  28,22761;-9999,00000; 995,49960;   0,84235; 280,55887;   0,00000;   4,24424;  46,54804;   4,55755;  11,51439;1609,10770;  80,63237;  -0,18936;-9999,00000;  12,92301;   0,00000;   7,00036;  31,88398
2021-01-13 00:00:00; 33,41357;  28,49014;-9999,00000; 997,78436;   1,18434; 285,62665;   2,12281;   4,24604;  63,75887;   3,18280;   8,00000;1782,77780;  81,54424;   0,26157;-9999,00000;  12,98590;   0,00000;   7,75569;  32,28252
2021-01-12 00:00:00; 33,46363;  28,46229;-9999,00000;1001,53284;   1,73381; 299,74320;   1,94056;   4,23679;  44,16370;   0,63799;   2,25806;1668,60770;  92,94961;  -1,14769;-9999,00000;  12,83061;   0,00761;   6,80690;  32,02924
2021-01-11 00:00:00; 33,16714;  28,14410;-9999,00000;1005,83210;   1,42883;  26,46109;   0,01754;   4,22862;  26,69039;   3,44086;   6,94265;1576,50000;  89,80970;  -0,97794;-9999,00000;  12,72105;   0,00000;   6,08121;  31,70071
2021-01-10 00:00:00; 33,05402;  28,00264;-9999,00000;1007,75836;   1,29003;  52,13166;   0,00000;   4,23128;  13,78571;   5,76978;  10,95683;1607,75340;  94,70412;  -1,85623;-9999,00000;  12,64644;   0,00000;   5,81069;  31,75938
