DATE; Napelem töltőfeszültség; Levegő-hőmérséklet; Talajhőmérséklet 0 cm; Talajnedvesség 90 cm; Szélirány; Csapadék; Szélsebesség; Talajnedvesség 120 cm; Talajnedvesség 30 cm; Belső akkufeszültség; Besugárzás; Légnyomás; Levegő-páratartalom; Talajnedvesség 60 cm; Külső akkufeszültség; Fagy; Levélnedvesség; Fényegység; Széllökés
2021-04-30 00:00:00; 11,44155;  17,10875;  12,89299;  21,71477; 230,49718;   0,02800;   4,41993;-9999,00000;  23,82101;   4,20761; 182,83217;1001,98000;  75,06979;-9999,00000;  13,05339;-9999,00000;   0,86806;2383,66670;  10,00356
2021-03-12 00:00:00; 9,40563;   8,24753;   4,88623;  22,61547; 238,03627;   0,00415;   8,55755;-9999,00000;  27,76534;   4,20492;  86,81338;1004,29425;  67,38630;-9999,00000;-9999,00000;-9999,00000;   1,23693;1844,31950;  17,26978
2021-03-11 00:00:00; 10,09913;   3,04382;   3,44326;  22,65350; 180,75934;   0,00000;   6,13718;-9999,00000;  27,92407;   4,20809; 154,67972;1010,58050;  55,52065;-9999,00000;-9999,00000;-9999,00000;   0,00000;1932,34720;  12,71480
2021-03-10 00:00:00; 10,28231;   0,58617;   3,60890;  22,73196;  54,00160;   0,00000;   3,84477;-9999,00000;  28,08613;   4,20748; 137,69504;1010,14386;  58,30872;-9999,00000;-9999,00000;-9999,00000;   0,00000;1960,91660;   7,81227
2021-03-09 00:00:00; 10,42550;   1,60213;   4,27936;  22,74002;  38,34354;   0,00000;   4,25271;-9999,00000;  28,21623;   4,20786; 150,67616;1010,82770;  53,69431;-9999,00000;-9999,00000;-9999,00000;   0,00000;2010,69090;   9,23105
2021-03-08 00:00:00; 10,15048;   2,78551;   3,97411;  22,81769; 225,54947;   0,00000;   3,89892;-9999,00000;  28,31490;   4,20776; 152,80142;1008,38890;  61,32000;-9999,00000;-9999,00000;-9999,00000;   0,00000;1990,17020;   8,60650
2021-03-25 00:00:00; 10,97929;   4,31237;   4,75958;  22,49402; 356,61220;   0,00000;   3,62094;-9999,00000;  28,21994;   4,20816; 198,67491;1012,40814;  51,65013;-9999,00000;-9999,00000;-9999,00000;   0,00000;2101,22920;   7,67509
2021-04-29 00:00:00; 11,60195;  15,90595;  11,49403;  21,76234; 201,83351;   0,00000;   5,28214;-9999,00000;  23,92451;   4,20830; 189,22807;1001,58480;  69,39608;-9999,00000;  13,09398;-9999,00000;   0,13889;2361,25340;  12,74286
2021-04-16 00:00:00; 11,42266;   5,62791;   8,03216;  22,02814; 272,67133;   0,00000;   4,25899;-9999,00000;  24,16255;   4,20816; 124,76950;1010,97000;  77,90234;-9999,00000;  13,21447;-9999,00000;   0,45455;2288,64230;   9,07914
2021-02-26 00:00:00; 9,42467;   9,84211;   6,95654;  23,08898; 265,28650;   0,00000;   1,21864;-9999,00000;  30,02968;   4,20752; 123,92226;1017,57697;  79,42313;-9999,00000;-9999,00000;-9999,00000;   2,38676;1848,82980;   3,25090
2021-04-09 00:00:00; 11,54295;   5,24261;   6,19539;  22,19857; 199,60152;   0,00000;   5,18705;-9999,00000;  24,88242;   4,20777; 233,16254;1018,28455;  60,46314;-9999,00000;  13,22941;-9999,00000;   0,96154;2268,75340;  10,89568
2021-04-13 00:00:00; 10,07851;   9,39331;  10,49295;  22,12191; 304,13715;   0,01410;   4,58064;-9999,00000;  23,84634;   4,20462;  53,83392;1006,21590;  86,87432;-9999,00000;  13,05490;-9999,00000;   2,17770;2097,69100;   9,30466
2021-04-12 00:00:00; 11,16778;  16,22867;   9,85367;  22,11201; 189,97961;   0,00000;   3,45357;-9999,00000;  23,90782;   4,20802; 216,12280;1008,08466;  46,28845;-9999,00000;  13,10328;-9999,00000;   0,00000;2256,27080;   7,85000
2021-04-14 00:00:00; 10,41568;   4,48692;   9,22589;  22,13705; 318,16235;   0,01248;   4,09747;-9999,00000;  24,26716;   4,20542;  68,58156;1007,95580;  93,88635;-9999,00000;  13,14360;-9999,00000;   5,01754;2226,17700;   8,83033
2021-04-15 00:00:00; 10,92931;   5,18873;   8,32234;  22,08602; 299,22116;   0,00499;   1,67148;-9999,00000;  24,24518;   4,20711;  91,21908;1010,53290;  82,92791;-9999,00000;  13,17849;-9999,00000;   1,20629;2208,58700;   4,66426
