DATE; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Széllökés; Szélirány; Talajhőmérséklet 0 cm; Levegő-hőmérséklet; Szélsebesség; Fagy; Fényegység; Talajnedvesség 90 cm; Levegő-páratartalom; Külső akkufeszültség; Légnyomás; Levélnedvesség; Besugárzás; Napelem töltőfeszültség; Belső akkufeszültség; Csapadék
2021-04-28 17:00:00; 25,09383;  28,92001;   2,84483;  99,74428;  13,42000;  14,27796;   1,81034;-9999,00000;2497,20000;  25,34998;  69,50678;  13,20570;1001,46295;   0,00000;  10,66667;  13,02173;   4,23483;   0,00000
2021-04-28 16:00:00; 25,11198;  28,92001;   2,01724; 179,47229;  13,59999;  14,83000;   0,89655;-9999,00000;3895,00000;  25,34998;  69,09217;  13,35828;1001,44310;   0,00000;  49,66667;  16,93947;   4,23538;   0,00000
2021-04-28 15:00:00; 25,11198;  28,92001;   2,32759; 179,69688;  13,50333;  14,91356;   1,15517;-9999,00000;3895,00000;  25,34998;  67,80780;  13,41370;1001,74450;   0,00000;  99,33334;  18,84980;   4,23497;   0,00000
2021-04-28 14:00:00; 25,11000;  28,87638;   6,27586; 137,42154;  13,34407;  14,65763;   4,10345;-9999,00000;3895,00000;  25,34998;  69,55187;  13,48564;1001,95220;   0,00000; 159,40678;  19,38282;   4,23787;   0,00000
2021-04-28 13:00:00; 25,11198;  28,88431;   8,35593;  97,24160;  12,93167;  14,57167;   5,61017;-9999,00000;3895,00000;  25,34998;  70,75283;  13,57128;1002,24880;   0,00000; 261,63934;  20,35257;   4,23803;   0,00000
2021-04-28 12:00:00; 25,11198;  28,80895;   9,17241;  81,13930;  12,35833;  13,42034;   6,37931;-9999,00000;3895,00000;  25,34998;  74,57848;  13,61541;1002,82220;   0,00000; 261,16666;  20,32993;   4,23785;   0,00000
2021-04-28 11:00:00; 25,11198;  28,80102;   7,20690;  77,76321;  11,88814;  12,10689;   4,86207;-9999,00000;3895,00000;  25,34998;  78,28914;  13,48900;1003,34155;   0,00000; 140,33899;  19,78896;   4,23603;   0,00000
2021-04-28 10:00:00; 25,11198;  28,80102;   7,82759; 112,26434;  11,65999;  11,49666;   5,67241;-9999,00000;3895,00000;  25,34998;  75,81532;  13,49300;1003,51483;   0,00000; 138,58333;  19,66440;   4,23598;   0,00000
2021-04-28 09:00:00; 25,11198;  28,80102;   6,43103; 105,66917;  11,35254;  11,11525;   4,37931;-9999,00000;3895,00000;  25,34998;  70,98559;  13,48733;1003,55786;   0,00000; 146,86441;  19,96832;   4,23275;   0,00000
2021-04-28 08:00:00; 25,11198;  28,80102;   6,72414;  67,13195;  11,04167;   9,91695;   4,82759;-9999,00000;3895,00000;  25,34998;  69,28712;  13,51357;1003,64404;   0,00000; 115,83334;  19,48540;   4,23408;   0,00000
2021-04-28 07:00:00; 25,11198;  28,80102;   6,89655;  38,61062;  10,90000;   8,65254;   4,86207;-9999,00000;3895,00000;  25,34998;  67,08762;  13,53089;1003,43430;   0,00000;  83,00000;  18,05448;   4,23452;   0,00000
2021-04-28 06:00:00; 25,11198;  28,80102;   9,18966;  50,60524;  10,81695;   7,98814;   6,82759;-9999,00000;3895,00000;  25,34998;  65,20984;  13,34957;1002,99680;   0,00000;  73,89831;  17,08071;   4,23502;   0,00000
2021-04-27 22:00:00; 25,11198;  29,00671;   8,64912;  31,01917;  12,34576;   9,01379;   6,49123;-9999,00000; 107,74577;  25,34998;  54,99311;  13,07673;1003,28120;   0,00000;   0,00000;   0,00000;   4,23744;   0,00000
2021-04-27 23:00:00; 25,11198;  28,92781;   8,10169;  38,59365;  12,01667;   8,70667;   5,89830;-9999,00000; 702,47540;  25,34998;  55,13534;  13,05362;1003,09170;   0,00000;   0,00000;   0,00000;   4,23644;   0,00000
2021-04-28 04:00:00; 25,11198;  28,85059;   8,77586;  44,00277;  10,98136;   7,74407;   6,44828;-9999,00000;3895,00000;  25,34998;  60,19932;  12,94799;1002,71010;   0,00000;  16,35593;  16,28944;   4,23548;   0,00000
2021-04-28 05:00:00; 25,11198;  28,80102;  10,66667;  44,86442;  10,85762;   7,54655;   7,92982;-9999,00000;3895,00000;  25,34998;  62,29949;  13,02050;1002,91174;   0,00000;  47,11865;  16,92812;   4,23463;   0,00000
2021-04-28 00:00:00; 25,11198;  28,92001;   9,93103;  39,63631;  11,77167;   8,62712;   7,32759;-9999,00000;1336,86670;  25,34998;  53,66661;  13,03088;1002,75130;   0,00000;   0,00000;   0,00000;   4,23668;   0,00000
2021-04-28 01:00:00; 25,11198;  28,89820;  13,45614;  36,76414;  11,53276;   8,70173;  10,24561;-9999,00000; 756,48334;  25,34998;  50,98793;  13,00638;1002,47400;   0,00000;   0,00000;   0,00000;   4,23520;   0,00000
2021-04-28 02:00:00; 25,11198;  28,89819;   9,98276;  57,50246;  11,34499;   8,43390;   7,39655;-9999,00000; 543,26666;  25,34998;  52,30525;  12,98370;1002,35394;   0,00000;   0,00000;   0,09025;   4,23592;   0,00000
2021-04-28 03:00:00; 25,11198;  28,88371;   6,65517;  45,82975;  11,14333;   7,93333;   4,75862;-9999,00000;1680,91660;  25,34998;  58,05284;  12,96752;1002,38500;   0,00000;   1,50000;  10,10007;   4,23527;   0,00000
2021-04-30 22:00:00; 24,99300;  28,95903;   3,42373; 128,54124;  14,95667;  13,47667;   2,38983;-9999,00000; 192,31148;  25,34998;  77,61283;  13,00661;1002,80510;   0,00000;   0,00000;   0,00000;   4,23585;   0,00000
2021-04-30 23:00:00; 24,99300;  28,91799;   5,06897; 103,43398;  14,67167;  13,22543;   3,94828;-9999,00000; 499,01666;  25,34998;  79,53610;  12,98773;1002,50500;   0,00000;   0,00000;   0,00000;   4,23573;   0,00000
2021-04-27 18:00:00; 25,11198;  29,17945;   3,68966; 101,08115;  14,10000;  12,46667;   2,58621;-9999,00000; 129,46666;  25,34998;  42,99534;  13,17309;1002,56840;   0,00000;   0,00000;   0,71588;   4,23670;   0,00000
