DATE; Széllökés; Fényegység; Napelem töltőfeszültség; Szélirány; Talajnedvesség 120 cm; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Levegő-hőmérséklet; Besugárzás; Talajnedvesség 90 cm; Levélnedvesség; Légnyomás; Belső akkufeszültség; Szélsebesség; Levegő-páratartalom; Fagy; Csapadék; Külső akkufeszültség; Talajhőmérséklet 0 cm
2021-03-27 04:00:00; 0,66667;2189,50000;   9,45025; 180,52771;-9999,00000;  28,08700;  30,94299;   0,86667;   6,66667;  28,05725;   0,00000;1007,92500;   4,23558;   0,00000;  77,75250;-9999,00000;   0,00000;-9999,00000;   4,87500
2021-03-27 03:00:00; 0,08333;   4,91667;   0,00583; 180,52771;-9999,00000;  28,08699;  30,96463;   0,34545;   0,00000;  28,09781;   0,00000;1007,92730;   4,23717;   0,00000;  80,13364;-9999,00000;   0,00000;-9999,00000;   5,07273
2021-03-27 02:00:00; 0,09091; 325,33334;   0,00000; 180,52771;-9999,00000;  28,08700;  31,05208;   1,65833;   0,00000;  27,89858;   0,00000;1007,84155;   4,23875;   0,00000;  74,76749;-9999,00000;   0,00000;-9999,00000;   5,27500
2021-03-27 01:00:00; 1,16667; 330,91666;   0,00000; 172,19325;-9999,00000;  28,07708;  31,04217;   3,30833;   0,00000;  28,26550;   0,00000;1007,93335;   4,23800;   0,00000;  70,23167;-9999,00000;   0,00000;-9999,00000;   5,48333
2021-03-27 00:00:00; 0,18182;   7,83333;   0,00000; 166,89943;-9999,00000;  28,08700;  31,06200;   2,76364;   0,00000;  28,36466;   0,00000;1008,00916;   4,23958;   0,00000;  73,10727;-9999,00000;   0,00000;-9999,00000;   5,72500
2021-03-24 23:00:00; 0,09091; 325,41666;   0,00000; 346,78757;-9999,00000;  28,20600;  32,14381;   1,03636;   0,00000;  29,47173;   5,00000;1007,39996;   4,23850;   0,00000;  89,84272;-9999,00000;   0,00000;-9999,00000;   4,18182
2021-03-25 22:00:00; 0,00000;   0,75000;   0,00000; 224,51627;-9999,00000;  28,20600;  31,77600;   0,22727;   0,00000;  28,88754;   0,00000;1007,76360;   4,24217;   0,00000;  79,00546;-9999,00000;   0,00000;-9999,00000;   5,13636
2021-03-25 21:00:00; 0,00000; 325,58334;   0,00000; 224,51627;-9999,00000;  28,20600;  31,77600;   0,99167;   0,00000;  29,01916;   0,00000;1007,45830;   4,24492;   0,00000;  77,80917;-9999,00000;   0,00000;-9999,00000;   5,43333
2021-03-25 20:00:00; 0,00000; 325,00000;   0,00000; 224,51627;-9999,00000;  28,20600;  31,76608;   3,50833;   0,00000;  28,93983;   0,00000;1006,93330;   4,24525;   0,00000;  70,65166;-9999,00000;   0,00000;-9999,00000;   5,78333
2021-03-25 19:00:00; 0,00000;   3,08333;   0,00000; 224,51627;-9999,00000;  28,20600;  31,77600;   5,15833;   0,00000;  29,24724;   0,00000;1006,45830;   4,24708;   0,00000;  63,01584;-9999,00000;   0,00000;-9999,00000;   6,10833
2021-03-25 18:00:00; 0,16667;   2,16667;   0,00000; 289,45250;-9999,00000;  28,20600;  31,77600;   3,77273;   0,00000;  29,47172;   0,00000;1006,28180;   4,24867;   0,00000;  70,27000;-9999,00000;   0,00000;-9999,00000;   6,47273
2021-03-25 17:00:00; 0,00000; 764,75000;   2,28300; 329,73618;-9999,00000;  28,20600;  31,78591;   6,64167;   0,83333;  29,58442;   0,00000;1005,59160;   4,24917;   0,00000;  59,62833;-9999,00000;   0,00000;-9999,00000;   6,90833
2021-03-25 16:00:00; 2,00000;3895,00000;  15,22133; 327,92340;-9999,00000;  28,20600;  31,77600;  10,45000;  40,41667;  29,58441;   0,00000;1005,22490;   4,25142;   0,08333;  43,97583;-9999,00000;   0,00000;-9999,00000;   7,25833
2021-03-25 15:00:00; 3,00000;3895,00000;  17,53517; 344,15118;-9999,00000;  28,20600;  31,77600;  12,00000; 179,58333;  29,45550;   0,00000;1005,07495;   4,25433;   0,08333;  37,31916;-9999,00000;   0,00000;-9999,00000;   7,44167
2021-03-25 14:00:00; 8,25000;3895,00000;  21,04542; 358,20123;-9999,00000;  28,19608;  31,85533;  12,20833; 360,41666;  29,43566;   0,00000;1005,28326;   4,25650;   1,91667;  37,25333;-9999,00000;   0,00000;-9999,00000;   7,36667
2021-03-25 13:00:00; 6,27273;3895,00000;  21,38200;  32,55778;-9999,00000;  28,20600;  31,89499;  12,05000; 496,66666;  29,36625;   0,00000;1005,75836;   4,25517;   1,27273;  37,00500;-9999,00000;   0,00000;-9999,00000;   7,00833
2021-03-25 12:00:00; 9,16667;3895,00000;  21,32233; 298,32092;-9999,00000;  28,20600;  31,93827;  12,20909; 640,00000;  29,32027;   0,00000;1006,33636;   4,25500;   2,16667;  37,59182;-9999,00000;   0,00000;-9999,00000;   6,34545
2021-03-25 11:00:00; 10,08333;3895,00000;  21,43292; 325,69986;-9999,00000;  28,20600;  32,01400;  11,13333; 698,75000;  29,19766;   0,00000;1006,86670;   4,25525;   2,41667;  38,40833;-9999,00000;   0,00000;-9999,00000;   5,53333
2021-03-25 10:00:00; 6,33333;3895,00000;  21,52084; 292,05860;-9999,00000;  28,20600;  32,03383;  10,72500; 619,16670;  29,15800;   0,00000;1007,44995;   4,25550;   0,91667;  40,79750;-9999,00000;   0,00000;-9999,00000;   4,71667
2021-03-25 09:00:00; 1,09091;3895,00000;  20,89475; 287,39096;-9999,00000;  28,20600;  32,12308;   8,70833; 400,41666;  29,21750;   0,00000;1007,86670;   4,25725;   0,00000;  54,43500;-9999,00000;   0,00000;-9999,00000;   4,03333
2021-03-25 08:00:00; 1,91667;3895,00000;  20,14725;  68,60059;-9999,00000;  28,20600;  32,07350;   6,56667; 225,00000;  29,45550;   0,00000;1008,16656;   4,25700;   0,08333;  66,89916;-9999,00000;   0,00000;-9999,00000;   3,50833
2021-03-25 07:00:00; 3,66667;3895,00000;  19,90584;  89,76495;-9999,00000;  28,19608;  32,00408;   5,60833; 279,58334;  29,50508;   0,41667;1007,99994;   4,25967;   0,33333;  74,14167;-9999,00000;   0,00000;-9999,00000;   3,02500
